ROI,mean0,sd0,thr
ROI.02 [],0.024147587657752833,0.01836342545435514,0.07923786402081825
ROI.03 [],0.04126610898377546,0.016905186379840557,0.09198166812329714
ROI.04 [],0.041687762700530914,0.019823403638611816,0.10115797361636636
ROI.05 [],0.02366699041826045,0.011770827481048414,0.05897947286140569
ROI.06 [],0.02135631585550924,0.011184293536039048,0.05490919646362639
ROI.07 [],0.02899592587787305,0.013822345964076619,0.07046296377010292
ROI.08 [],0.047165518565653736,0.01404768936295498,0.08930858665451868
ROI.09 [],0.02861779513442261,0.017627149794935994,0.08149924451923059
ROI.10 [],0.02757604527488878,0.011938351373142598,0.06339109939431657
ROI.11 [],0.9729300261341634,0.47405005542926404,2.395080192421956
ROI.12 [],0.12290942269057253,0.033210248777063425,0.22254016902176282
ROI.13 [],0.011174875540978827,0.00902675619793851,0.038255144134794354
ROI.14 [],0.019205883755976188,0.028847160301589684,0.10574736466074525
ROI.15 [],0.3992425468669679,0.15000959479137266,0.8492713312410859
ROI.16 [],-0.07688756460258372,0.050285210829863064,0.07396806788700547
ROI.17 [],-0.3120184985024145,0.2810611497044477,0.5311649506109285
ROI.18 [],0.028979415312453304,0.0164513796249327,0.07833355418725141
ROI.19 [],0.026207961431057265,0.021574713117832316,0.0909321007845542
