ROI,mean0,sd0,thr
ROI.04 [],0.015350470726601633,0.01836442448587317,0.07044374418422114
ROI.05 [],0.03090994051628258,0.020094311627533157,0.09119287539888206
ROI.06 [],0.002348632531834446,0.003711136843218837,0.013482043061490957
ROI.07 [],0.002897639296862333,0.0038286483816758862,0.014383584441889991
ROI.08 [],0.003553915788578605,0.004701050901942083,0.017657068494404855
ROI.09 [],0.009803744917950143,0.0068791963549460124,0.030441333982788178
ROI.10 [],0.208336274768918,0.14513351160478605,0.6437368095832762
ROI.11 [],0.011374610183182593,0.00881859913567903,0.03783040759021968
ROI.12 [],0.027557314242097713,0.020740084174439295,0.0897775667654156
ROI.13 [],0.08232725875091147,0.08285295649106289,0.33088612822410013
ROI.14 [],0.023220948843483233,0.01649901824578011,0.07271800358082356
ROI.15 [],-0.9062519731428179,0.46408406023620946,0.4860002075658104
ROI.16 [],0.006740797971022892,0.008515460318623056,0.03228717892689206
ROI.17 [],0.02024721484041834,0.01243401364520356,0.05754925577602902
ROI.18 [],0.0028128002853892646,0.00470460698328144,0.016926621235233585
ROI.19 [],0.0028312842520813878,0.005010448702434486,0.017862630359384846
ROI.20 [],0.0029452435713133657,0.004485615262271417,0.016402089358127616
ROI.02 [],0.002710119550978763,0.0053092049608443985,0.01863773443351196
ROI.03 [],0.013472409517683515,0.013802072557759257,0.05487862719096129
ROI.21 [],0.37747932451518446,0.29499723531207306,1.2624710304514035
ROI.22 [],-0.05547693480458744,0.03565160373714405,0.05147787640684472
ROI.23 [],-0.13299906709808682,0.0954998819886706,0.15350057886792498
ROI.24 [],0.07693054894834124,0.08256775708691602,0.3246338202090893
ROI.25 [],-0.14322013575728226,0.09182715729186915,0.1322613361183252
