ROI,mean0,sd0,thr
ROI.02 [],-0.5429596438520389,0.30124221366029846,0.3607669971288565
ROI.03 [],0.01774504461121037,0.013109272487960039,0.057072862075090484
ROI.04 [],0.03066662195324769,0.01330652103163378,0.07058618504814904
ROI.05 [],-0.017264685405623988,0.01512022338842892,0.028095984759662775
ROI.06 [],0.016838522691741582,0.00885512650361796,0.04340390220259546
ROI.07 [],-0.032519139211361354,0.013952767500545872,0.009339163290276259
ROI.08 [],0.015739957381070004,0.013376032365723371,0.055868054478240115
ROI.09 [],-0.01533448108834888,0.010963691047613211,0.017556592054490755
ROI.10 [],-0.014422911727232065,0.012058667548703952,0.021753090918879794
ROI.11 [],0.03114217828340258,0.01548093719281709,0.07758498986185386
ROI.12 [],0.029261211563812888,0.02188993660790859,0.09493102138753867
ROI.13 [],-0.021027668731525027,0.02208793047275264,0.04523612268673289
ROI.14 [],-0.0209237247017862,0.016437784639585,0.0283896292169688
ROI.15 [],0.01303809208090895,0.010989683233216285,0.0460071417805578
ROI.16 [],0.07053466836926166,0.02040775319897188,0.1317579279661773
