Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 [],ROI.03 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.25 [],ROI.26 []
0.257,0.3894324187333815,0.017139430008243476,0.0619851887518134,0.022689410136869235,0.1398056669177792,0.011197938153582087,0.01797120777782333,0.05363887549072176,0.02790062897344337,0.23822682762013214,0.007989453773815831,0.0,0.03684245362814837,0.02466856055894896,0.04334788138463106,0.03827820156015275,0.04007486867171426,0.02366165655616736,0.006955769395914888,0.09675682306321097,0.014408649754880893,0.09583994585368694,0.08206565516995819,0.08379969757032113,0.4590084296677867,0.272539671006486,0.263469363931109
0.783,0.3440133055589193,0.011914501576710434,0.04040537757312061,0.01730930240958498,0.10499140606713907,0.008692613192165636,0.00811234532624134,0.03935442770170793,0.01884858925914176,0.19156493597680357,0.006171457339882687,0.0,0.027258458228809523,0.017625977373633663,0.035901031582435516,0.033424392250775675,0.02678108043113037,0.022407582416524813,0.0078033802188510045,0.06096786308844211,0.013052234976310572,0.07847807312439391,0.05370439822408697,0.08151244797997055,0.3801821986226816,0.2299710910681509,0.17019357928049036
1.277,0.3084224735556165,0.013458854060567139,0.0317118182713878,0.020636360974168454,0.12969241547620314,0.009258143395789759,0.010690121478867668,0.04404975867358764,0.026193685618641556,0.17002042525938138,0.007696325270091207,0.0,0.028744841615454438,0.015470501278281144,0.03988208736512858,0.032894823767199,0.03338803002237434,0.024884961918181202,0.010503422851328211,0.06606116599441685,0.01008382667727683,0.057912647198837985,0.02551004221134852,0.07267508875857522,0.24584490882567087,0.26533657730358157,0.16939847335688207
1.787,0.2718436805878829,0.008057668127181365,0.027162157631552834,0.0156873270316508,0.09812411772899218,0.004898645228082341,0.007148831392374163,0.03054298402182158,0.007067409126229385,0.14245300775927824,0.004358005729592424,0.0,0.017905112374112624,0.011205012849742032,0.019505150087612843,0.030794801162418384,0.02993624706247461,0.025867956519900235,0.005062264149528851,0.062083760045543036,0.009802118571901957,0.043459070758109335,0.04171230930078441,0.04275696600452132,0.19557413169785368,0.2122659176235533,0.10523742451023178
2.276,0.23974877375130152,0.0058235896992760395,0.044376524281187754,0.014461521750303411,0.09077578585771036,0.005118839325042454,0.007958448769536235,0.039352415837563014,0.013580701126441948,0.10566945212136573,0.0042866687039446825,0.0,0.031077496343513557,0.012836536597701334,0.01998373780360983,0.02991787139244663,0.026504320799925,0.018305678737513705,0.005955925502014254,0.08748646741125693,0.006215029179245335,0.06622765930187302,0.04321061900222727,0.05103617076704156,0.22675880922187674,0.14278957326857739,0.14499876168829456
2.777,0.2140787135092027,0.005983721111423625,0.03662736271651713,0.012439972407463732,0.0724128934182531,0.0027076634222908203,0.005116242459974937,0.036420381851963016,0.006692217973155635,0.09418359727950826,0.004053293360758073,0.0,0.016608983104568122,0.011486853007936676,0.02263214342424142,0.024552218853820324,0.025506699948119323,0.020826690470321613,0.0015961583139965482,0.08605500488256636,0.004885165031565453,0.06576599945831087,0.022183821523230868,0.09302344789578403,0.10971690891148289,0.14220123249950323,0.07996059640961345
3.279,0.19671796554604185,0.00439643689085069,0.021244572822166324,0.011963528174693377,0.06050228073136706,0.0032682171056599083,-0.00015094466269664682,0.028660070482056967,0.0008844752620906003,0.03656870452051863,0.003640661220158318,0.0,0.013803520551435682,0.009270603979150818,0.015610694519119311,0.029715033292123324,0.036543469449739865,0.01090783600271186,0.003893630627936866,0.04431400476006944,0.005515819555093331,0.028015227965584675,0.03637139082963468,0.07137524431456072,0.15539452195112627,0.1045728466881498,0.006122723183448029
3.776,0.17211950986924796,0.004343607811227644,0.02092466370039946,0.010755567065772628,0.085269230650416,0.0029577996339002714,0.006990239907096505,0.02653276825411198,0.0011986578081894335,0.007879539527803455,0.003708595641836751,0.0,0.0011668151012363224,0.0043605799585269885,0.009378865666837538,0.023790636603072554,0.038426694916172545,0.01652361373295992,0.004440585098069599,0.03743896341354337,0.005218810574624908,0.04518763449433141,0.026421972622450513,0.04950540168784562,0.30801910047198544,0.005196534789856256,0.024377129123260035
4.276,0.15065883083010392,0.005516036935087012,0.014435127803144045,0.01057409030680074,0.05047897545633531,0.0011304469190158914,0.0013633508026184493,0.019453673021165182,0.009430867011960326,-0.030281860663594663,0.0012259977230146336,0.0,0.020579691506714397,0.0031933813623022346,0.00914673041731338,0.029216795408433766,0.030765702523196818,0.011254843924847126,0.004523949252649844,0.023072029474451312,0.00047820139856212464,0.012449859822155428,0.034229810308661096,0.05961750798999894,0.051735056065732254,-0.025547129763092813,-0.00846891889449947
4.783,0.13572037079557397,0.0008692229941515253,0.0013829482763632788,0.003181110324204922,0.08916122216778233,0.0004078802890801448,-0.0023873638395226944,0.016829186813214072,-0.000898344306243197,-0.017010196591549502,0.0014387476477228144,0.0,0.007172993513295101,0.0032108394472271967,0.01311321295010626,0.007619447057215101,0.011748259368399802,0.0050634064409494795,0.001388501320749514,0.009340807793178533,0.0029086713534729005,-0.0019136977492912554,0.010964237255229506,0.07140431801438592,0.055841858905996855,-0.027680426593025626,0.037346245655050805
