ROI,mean0,sd0,thr
ROI.01 [],0.012354050562524723,0.011605331122402363,0.047170043929731814
ROI.02 [],0.0021427539412259148,0.0023999989124214097,0.009342750678490143
ROI.04 [],0.010674991742862532,0.007145480152378955,0.032111432199999394
ROI.05 [],0.004631881756341466,0.002427585259053007,0.011914637533500486
ROI.06 [],0.02031451409109133,0.019913307121209853,0.0800544354547209
ROI.07 [],0.0010255446822140639,0.0010398216813423786,0.0041450097262412
ROI.08 [],0.0030374073742530576,0.00248044019597128,0.010478727962166898
ROI.09 [],0.02177192112311501,0.009558177021715077,0.05044645218826024
ROI.10 [],0.008704062091638352,0.00589471992473842,0.02638822186585361
ROI.11 [],0.05909544287880157,0.04222250089000255,0.18576294554880923
ROI.12 [],0.0013335327551598421,0.0012700375872409023,0.0051436455168825486
ROI.03 [],0.010222047933663141,0.008112346093238345,0.03455908621337818
ROI.13 [],0.006456940881026055,0.0037208102297127694,0.017619371570164362
ROI.14 [],0.010238791537407007,0.0070937736668300515,0.03152011253789716
ROI.15 [],0.00670015830885775,0.005195609001067911,0.022286985312061483
ROI.16 [],0.01168763555673198,0.006838482531277836,0.03220308315056549
ROI.17 [],0.009636334306555874,0.006464364852247689,0.029029428863298942
ROI.18 [],0.0027499926421996924,0.002560049481224187,0.010430141085872252
ROI.19 [],0.020901692765789223,0.013210384672098011,0.06053284678208326
ROI.20 [],0.0021810402612236065,0.0028885542021331854,0.010846702867623164
ROI.21 [],0.03765141450057862,0.021190884897150816,0.10122406919203106
ROI.22 [],0.021911916701365493,0.01260970492003123,0.059741031461459176
ROI.23 [],0.019457253714837836,0.012696042990610789,0.0575453826866702
ROI.24 [],0.15297736000741613,0.1319583835348042,0.5488525106118287
ROI.25 [],0.09899383936736454,0.05632924993092506,0.2679815891601397
ROI.26 [],0.05609518627071674,0.04412413703713005,0.1884675973821069
