ROI,mean0,sd0,thr
ROI.01 [],0.04111838054248781,0.027122522061264996,0.1224859467262828
ROI.02 [],0.006199492762452335,0.0036829466836572683,0.01724833281342414
ROI.04 [],0.011406923105289662,0.00917906731543313,0.03894412505158905
ROI.05 [],0.007883647248464635,0.004937098461650181,0.022694942633415177
ROI.06 [],0.06839379318478078,0.03853413922199463,0.18399621085076467
ROI.07 [],0.003076001054439958,0.0022210273090105957,0.009739082981471745
ROI.08 [],0.004172162460202487,0.0035305341207326002,0.014763764822400289
ROI.09 [],0.011959396808254067,0.007085149795860561,0.03321484619583575
ROI.10 [],0.014537983778704168,0.011672234364218744,0.0495546868713604
ROI.11 [],0.09015630867979195,0.03817015817224471,0.2046667831965261
ROI.12 [],0.00368257588719009,0.002606257009187678,0.011501346914753123
ROI.03 [],0.012140828773795454,0.010292238723501485,0.04301754494429991
ROI.13 [],0.007069630339394208,0.004416541568687046,0.020319255045455346
ROI.14 [],0.012845750809317828,0.007119360667473509,0.034203832811738354
ROI.15 [],0.010325957111145813,0.0064233226293550815,0.029595924999211057
ROI.16 [],0.01062372117137085,0.008604893948871477,0.03643840301798528
ROI.17 [],0.011962243333222584,0.007400323974522512,0.03416321525679012
ROI.18 [],0.008531807921680007,0.005373098674407809,0.024651103944903434
ROI.19 [],0.039410008021445196,0.02588879434571818,0.11707639105859974
ROI.20 [],0.004512048803616101,0.003925790786234901,0.016289421162320804
ROI.21 [],0.05024172046813487,0.028748637843636817,0.13648763399904532
ROI.22 [],0.02421246667621803,0.022935233722122514,0.09301816784258557
ROI.23 [],0.04860935690180676,0.039243153325661306,0.16633881687879068
ROI.24 [],3.163765523029308,1.8323037461197687,8.660676761388615
ROI.25 [],0.14985031073147817,0.0777458190850091,0.38308776798650546
ROI.26 [],0.0894000400774421,0.03875785940402093,0.2056736182895049
