Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 [],ROI.03 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.25 [],ROI.26 []
0.259,0.10752117680778518,0.009645711113833689,0.023949871371344064,0.01081874990774128,0.1568060400672017,0.006161147995075211,0.007421148695403744,0.009745419783441291,0.01813918494043018,0.0834708821653046,0.003461715998821224,0.0,0.012794267048141135,0.009067194164325734,0.024172092216436947,0.013360385879511176,0.0230970891781775,0.020907311347148162,0.005831529951714345,0.050254933382283984,0.006368728507673976,0.09669274292581956,0.05628039876930327,0.02955427845764769,1.3649985014764818,0.15711653063146253,0.10696327236696339
0.786,0.09895212065288102,0.0028012221218944844,0.016371146846067577,0.007064072040930791,0.14745582347032357,0.00628248743381688,0.009367344252267543,0.030014654758499786,0.0023556100246574447,0.09689052823462917,0.0024934797526007502,0.0,0.003963862859830551,0.019596074433066032,0.020970273528298722,0.016738292493599337,0.016824086673526844,0.0036818686095588765,0.0029949952600240764,0.03057062616044084,0.009811248139665598,0.03155172138173261,0.05128795873440587,0.034710028324752465,0.7316681701392679,0.15883366638791627,0.08575068879153237
1.278,0.09685964252008566,0.010838729512378758,0.018344024905529603,0.014551053474097214,0.12387004604127201,0.0066907661890493126,0.007167709438158576,0.025230897137852183,0.037123337164061326,0.09827080792318202,0.0040338449158425285,0.0,0.022236361111045364,0.023751330542163496,0.019536240835445525,0.008403283057835869,0.015879281925292258,0.026990006224724517,0.015892620711270847,0.08859111085403361,0.008393147801162558,0.07578228516136494,0.028649698359170677,0.04130275850995653,0.5177316976577856,0.07691268843855008,0.09372148383207664
1.777,0.06292640415977006,0.0057093865460470595,0.0003274802804844658,0.014579417709115798,0.0132180317880731,0.002331796407842519,-0.0077299481251183935,0.040696058680370024,0.03947184418413527,0.07454543083617023,0.001247540928750822,0.0,0.020106780066101313,0.022069977136455064,0.01742872400656507,0.0035416316536212105,0.003190339204356074,0.027681591866983123,0.022611017649969745,0.0700906751432037,0.009798210954551986,0.006106340195411973,0.00501338523575502,0.047208261608705566,0.9544445403718564,0.06152941067942861,0.13555038685519907
2.289,0.06520384971450063,0.005238140144649392,0.017565730611111413,0.014586027708629573,0.04674066434955491,0.002799274006133438,0.0006647139026438709,0.013279325730465391,0.03860336476573656,0.08978461123001849,0.004338368689276995,0.0,0.02526196239497879,0.024687699225362476,0.004973174815048749,0.011020520274753543,0.005312269136700775,0.03299759642347469,0.021447712234286858,0.08468919306492696,0.01419917969063023,0.1110897367285866,0.01592218388334619,0.025001501131096365,0.5744961393754953,0.2456460044772741,0.060250265168391506
2.776,0.05836268341842923,0.0008731151733639926,0.00757436576878128,0.002016383288680805,0.08456140087171791,0.0032705156625951943,-0.0010365150544957202,0.008279107076117986,0.002592530979617509,0.04671646399313819,0.00392612886085574,0.0,0.008135805803488962,0.014406626327502343,0.01351822754609785,0.005612928177039619,0.007449197235896103,-0.0026626289614922597,0.006534804736283562,0.0040427394615091365,0.0010204415008838732,0.023796646187066988,0.037972623490725006,0.028412929957034656,-0.2690274231283269,0.11538195897910093,-0.00029880413311737786
3.277,0.050032381518667395,0.007259895663563462,0.01729743848570641,0.00794118216713623,0.05116201890100991,0.0024124183553237734,0.0018355944047806114,0.013555482466218849,0.01849774428623413,0.055257915960584846,0.002458045183740874,0.0,0.023110738546525934,0.005744776499992378,0.012513898889634553,0.013533906290425526,0.008733248703639169,0.017427293575040755,0.007377302849798429,0.09919317909690763,0.003610344517330825,0.0634189247605066,0.010122776352608841,-0.022255589260004514,0.97153641537463,0.11304212933749891,0.042537736515687596
3.787,0.04692808466262744,0.008056828089876152,0.008129769087310371,0.013418679783072872,0.04860913164112349,0.0017841312202111132,0.00021207695386268419,0.018708193281692296,0.024752844092990254,0.039409473745329986,0.002420297324489328,0.0,0.02382148993434659,0.012000217404120965,0.0143287039125272,0.014598387887794875,0.01232560368435172,0.03712682997372353,0.015269993912152335,0.07751745561445578,0.006408928427465695,0.06431439631667327,0.01171746314229532,0.033875913544872426,0.8526958992910814,0.031106986877632824,0.05632723396099042
4.278,0.0448274903929227,0.0039047249891395906,0.0026826163851534886,0.011642210273941325,0.0827418364595423,0.002120608957248108,0.004361117879679611,0.03357503185160187,0.029008741922604567,0.033453436426398094,0.002513226712133328,0.0,0.015034968973919927,0.021295934912077243,0.009213722748892721,0.008844381016110158,0.011250258331060095,0.026318885073375677,0.016298790210279305,0.03347299790611973,0.011423443400971777,0.0013126827822148304,0.011695371553315792,0.02048804187932056,0.6073946832404309,0.04896144269798231,0.055309307615516244
4.778,0.04482906673947529,-0.0026932265299799613,0.01800943817391512,0.0038232725755176144,0.10057765436191285,0.002327834689757103,0.0036844546212675636,0.012785455723492739,0.006911908227066863,0.03177309148742724,0.001147017360048686,0.0,0.015312247515884182,0.0034981993865145756,0.008426096887811057,0.00910757194035669,0.014800183987940162,0.012916772630748223,0.002787474320121387,0.016447406429660832,-1.6409109284317972e-05,0.06066713159342622,0.05191807338889246,0.0038094980403327043,0.22689625140244254,0.05324848225214764,0.029605868648870038
5.278,0.05153483535430456,0.0034555403040683183,0.01868187464513152,0.003569464596113693,0.07753506178436328,0.0018772750957089656,0.0002189055733668244,0.01741146867569343,0.021701173303041416,0.08567498647088098,0.002197617287699657,0.0,0.01772349620726051,-6.671743797817404e-05,0.008093209569762711,0.017900498516975945,0.009813511671709373,0.013225106619041348,-0.00019498634136055763,0.06342794314731302,0.002064945276133215,0.05739200991516104,0.05214155357178108,0.02922397065878398,0.24045105123048635,0.14162919592998516,0.07319923206478514
5.779,0.032775313929675504,0.005695373326352739,0.007634103519431031,0.010802230558966078,0.10995504811885719,0.0019013558173826552,0.0005779954351965386,0.006965373150539247,0.029662253609997708,0.039506171267568495,0.0009191076086317348,0.0,0.011671546472098369,0.015201354443418013,0.01471419627348471,0.0054342221357171335,0.005717480659842767,0.029981431133057353,0.014540021899672698,0.07237523341679367,0.004757069836676678,0.08614393193899028,0.008370639648523501,0.023185753541453746,0.08940236561594718,0.03816503545599375,0.06193422202656466
6.278,0.029901301531593476,0.004088757784501431,0.00416342550884205,0.014048610606111215,0.11662852310575512,5.246113325657761e-05,0.0018435285767512142,0.013667528758237077,0.04462419858505688,-0.0005987192596455572,-0.0003092129545120711,0.0,0.02173215462472972,0.014020869926404144,0.012296019819277738,0.006618188300615,0.00815115755979558,0.034411681461688416,0.021572605307371776,0.055957021023399445,0.0046473434986769235,0.021145610743424515,0.036231266527979616,0.062150803033699714,0.07998771107537886,-0.005202101806773343,0.040245126173860356
6.779,0.025448313030847033,0.00013123853590123145,-0.004113848116385872,0.00026672038420564746,0.07122271474474995,0.0003004109385584014,0.0029042106078423515,0.0068150412854977496,4.282504838207624e-05,0.0013757843656921711,0.001799390897048339,0.0,0.012308846505648932,0.009712535617944058,-0.006798821225851293,-7.722054461420578e-05,-0.0036525188980045475,0.01364792314295217,0.004179515832775703,-0.016703573480844842,0.004657986063010971,-0.005508442125187686,0.04603083213651779,0.00643805125651694,0.5480537253662652,0.08239140565276586,0.025838437055225778
7.287,0.026614468439593343,0.0011196631503864035,0.010081711073352172,0.004799760183512218,0.21631386698041524,0.001352188063649073,0.0028264579321212384,0.02866981322819872,0.0009068155887686438,6.238090075160614e-05,0.0024239032371817008,0.0,0.016627241104091684,0.01598879445660895,0.016892289068684643,0.009341373055291322,-0.0019173963376877057,0.008414165097107292,0.004842122107329902,0.01621234844770514,0.006067824296741507,-0.0026106630132155875,0.04446567474767766,0.03702463377531881,0.6858506759166608,0.08880722721516046,-0.005377153493452805
7.777,0.02968369016843643,0.004440012052690693,0.0011780263354202328,0.0037799260296615456,0.12884767778999642,0.0014571618242053988,-0.0022738994905763168,0.014005728657653444,0.008202062672275879,0.04225219364654512,3.065201662197125e-05,0.0,0.023588611156266252,0.00688683410221761,0.012406356983003478,0.002829719905972698,-0.0005503242295117627,0.007931545929578423,0.001636956321785457,0.049723728213854373,0.0032448633052929916,0.03588948481456519,0.014289369753659803,0.025659059728751016,0.21850485239718137,0.12557642289244497,0.07228878264392513
8.288,0.022027583454544256,0.006424467936302354,0.011191405030383258,0.005457590869368991,0.1627188000060944,0.0010348738757631679,0.0022687132743875013,-0.005790528745017751,0.02205771930588363,0.028955816994416773,0.0008507984269723366,0.0,0.026735000634270593,-0.0020194088425517526,0.0007289756845005616,0.007529832681070402,0.010591456439037951,0.013743828751435387,0.008265217186180021,0.11131539672118665,-0.0006421144507124303,0.06748054930016674,0.00034569560489783427,0.0614498925531206,0.4039892164217449,0.11447987502743912,0.012556058714702495
8.778,0.01922301787338922,0.005009281672284627,0.017148523336245093,0.010213528971626886,0.12722034508865368,0.0009019360204701331,0.005447277990256572,0.014080904408962435,0.028936380886108736,0.04942413394765848,0.003148331728828372,0.0,0.023006246447531065,0.010452416856352191,0.011943001660380044,0.006242389567889625,-0.00012424201740737255,0.02286767493103747,0.01927111569680402,0.07727234294213647,0.009370912710134337,0.03826431869764775,0.044761728940360464,0.05715406794838039,0.9332897651715315,0.09821563370038078,0.0625139623847165
9.296,0.018009011509589355,0.006069875537423011,0.024214236977758354,0.009324312674088755,0.11483082620960972,-0.0009386344617019245,0.00031380069143580134,0.010210829971247393,0.014136898898100558,0.05914476142401818,0.0019660314589585066,0.0,0.018153753485519848,0.011599074334231336,0.0011506322534958868,-0.0022933708171765,0.0122921276132874,0.027283115726672778,0.014565975298032958,0.10045766505831193,0.005795381613352346,0.08277308580759428,0.04549014086679874,0.07077174654002821,0.43389167505767934,0.049503166430323736,0.09118252275138246
9.78,0.018138659543474,0.001739206219416997,0.0009865591641727595,0.0011437596181356814,0.14947849745235328,-0.0011066412867083413,0.002791292262983177,0.010926229884244644,-0.006565334706294509,-0.02043769148784689,-0.0012247764858779875,0.0,0.008384030231799507,-0.007093583178118979,0.01735981182697987,0.008629398345922272,0.010408714092173126,-0.00040517116358346564,0.0018820199917679485,-0.00355137197379596,-0.0023628900913024334,-0.022015359137638673,0.06096880948585178,0.009068119250646045,0.5164749202818445,0.026043562563124182,-0.003528728711371039
10.285,0.014741851358463214,0.0003201859089751747,0.009284058192109779,-0.00189675473055887,0.13697090830220188,-0.0004274118725675331,0.0001904333943094204,0.01385094678084561,0.012747494915095036,-0.009304660873484532,0.0008690531691978132,0.0,0.01611936564499655,0.0004349048489091312,-0.0032536274060586848,0.005835047552083027,0.010082473533914135,0.004268550963839232,-0.004874937864395914,0.03950030437075618,-0.0030010433695359536,0.06098817689819604,0.050978734315051524,0.011758263170147843,0.1122921479648172,0.02131388250484209,0.021501760063655388
