ROI,mean0,sd0,thr
ROI.01 [],0.018714426299220946,0.01130858920715972,0.05264019392070011
ROI.02 [],0.004549536409652182,0.0033782781006607876,0.014684370711634545
ROI.04 [],0.010277383282560382,0.00812133079119124,0.03464137565613411
ROI.05 [],0.006066204467624519,0.004854509578336916,0.020629733202635267
ROI.06 [],0.11340159860539167,0.04282119715037564,0.2418651900565186
ROI.07 [],0.001660391529833571,0.001469360502614366,0.006068473037676669
ROI.08 [],0.00418669374039269,0.0037030584325128237,0.015295869037931162
ROI.09 [],0.012771403480484481,0.010042167722849936,0.042897906649034284
ROI.10 [],0.018101226570727925,0.01545059748981394,0.06445301904016974
ROI.11 [],0.036513662616488134,0.033648262844951905,0.13745845115134386
ROI.12 [],0.002409773239526212,0.0019122963819206305,0.008146662385288102
ROI.03 [],0.01736539487932191,0.00777779791134052,0.04069878861334347
ROI.13 [],0.007006742111509719,0.006794415442107505,0.027389988437832233
ROI.14 [],0.00815956894574175,0.008768879301206137,0.03446620684936016
ROI.15 [],0.006158057991542267,0.005059278347995217,0.02133589303552792
ROI.16 [],0.006140981608087149,0.004871914066346005,0.020756723807125163
ROI.17 [],0.016810025112964935,0.011990940745982486,0.05278284735091239
ROI.18 [],0.008756447029256943,0.008170419591740459,0.03326770580447832
ROI.19 [],0.056520123977734246,0.042565539424194394,0.18421674225031742
ROI.20 [],0.004615013373507883,0.0037287691101103313,0.015801320703838877
ROI.21 [],0.044817326503161906,0.03507300271372791,0.15003633464434563
ROI.22 [],0.03324314438123418,0.022241421501134596,0.09996740888463798
ROI.23 [],0.038693773731866846,0.025294280110832644,0.11457661406436477
ROI.24 [],0.500667036696693,0.4263982537774029,1.7798617980289018
ROI.25 [],0.06784694012531631,0.05462647281426295,0.23172635856810517
ROI.26 [],0.05010964206957617,0.033428522339081466,0.15039520908682055
