Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 [],ROI.03 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.25 [],ROI.26 []
0.257,0.18687916919730388,0.020429360462798658,0.04207444467501363,0.03680959136494794,0.11815419749620967,0.012372931109185326,0.009463135427853073,0.09077456537223996,0.022052091615339605,0.19375061617260933,0.010689281304088711,0.0,0.035006243986596665,0.04280752153147439,0.05602218487363577,0.05578829833938146,0.050156029095885575,0.03675951311279444,0.018765704091334184,0.04292459050854124,0.012577474967148509,0.05294766003436907,0.05789796668429015,0.06048144379681552,0.2743695036997189,0.2383871944561946,0.1589378091408596
0.778,0.16214700249641728,0.013155357800086314,0.029960608943095816,0.029662298912547427,0.10013796615739869,0.009371782487694803,0.003792013664727589,0.08408698233628432,0.013582974269398036,0.17057004753374422,0.006856627737537541,0.0,0.037150096455775154,0.03106568755313135,0.03929010221476686,0.04476320125500304,0.04680821097040912,0.02317751944427057,0.01690651204099603,0.025485094766742968,0.012515347937296188,0.04425940747129996,0.033511834554062134,0.03448222584528768,0.22771303335707607,0.23986842298693056,0.1400214192564708
1.276,0.14265979306739146,0.01589237765463968,0.03900468428252997,0.03154315659817587,0.08306890337052024,0.009521610152874845,0.007716753268919589,0.07426491329256994,0.01501086019993512,0.1980097532396667,0.009703118136068422,0.0,0.025145472640052954,0.032796978128583745,0.03891170179122089,0.051546202589277175,0.04966668651859553,0.024726732353459024,0.01640512645456545,0.04175028040065685,0.01210614723544956,0.05324106355737937,0.04271828516491249,0.0542050208767236,0.24882145898580002,0.23881256787371297,0.21009530611054944
1.777,0.1227736711540895,0.01217933245224401,0.029853553785433667,0.026445301829907553,0.06114683449139384,0.006494384399489926,-0.0013221193318055475,0.07807766726027011,0.013553227839492492,0.16232401697059248,0.007561322881253334,0.0,0.01957468830041452,0.028473547158210134,0.03591641152693434,0.04239393054622499,0.04867113444605259,0.024008041170820896,0.014332812296004941,0.03225739578858361,0.005006034378051523,0.04964782897241981,0.034090474939303554,0.05142588847585413,0.29991847082518197,0.21060839987032817,0.1565200671764283
2.277,0.1057029436735937,0.00736029657614724,0.030054089359156242,0.02112931589916644,0.07449690966293565,0.0064298260877327556,0.002459088124888522,0.05118746893504507,0.010968067106285279,0.13920404571311296,0.007830064378232996,0.0,0.01885040317361867,0.026203664702864858,0.03402744203341615,0.033453832972657756,0.032290747227683145,0.02163041010965325,0.010622930818914338,0.029850492204546535,0.008183731649868308,0.05090165156142346,0.033409539017221525,0.04859364712451655,0.24729504830729598,0.11226151782343265,0.1915552652803657
2.788,0.09090581292705543,0.010624913455923491,0.028853663142337074,0.017590156554657132,0.06853747789565086,0.004567731891392346,0.005019933108939347,0.05906230851285271,0.01271776882754802,0.15178729484989614,0.005610445711766656,0.0,0.020862829627352836,0.025558212411168672,0.02828657840171121,0.02645049983090782,0.02833809644495339,0.017786641476977453,0.006178298713513184,0.036157259931520344,0.007246670451125577,0.06088047881409452,0.013735315246899858,0.041666761094637794,0.11948058482138656,0.1972102032784187,0.17173656503121765
3.278,0.07998987787749036,0.008577494733894844,0.036503033760658936,0.018622731837062603,0.06789685375186723,0.005339089323355089,0.0031934119087264983,0.042100655651359634,0.011946639494626016,0.10418069123327121,0.0040421962656942015,0.0,0.02147774602920266,0.026876696791376505,0.03441929686737903,0.02068310258166532,0.028007436385527797,0.020025510021981382,0.011396085466823505,0.03568662435399247,0.008843812242555834,0.07548534143613775,0.03219337611914778,0.039818681213036625,0.1977292908150584,0.11772226985712088,0.10107117065241591
3.777,0.07140563722394028,0.00856352777089378,0.03493576886141433,0.012541805958997702,0.06622535361593787,0.005433669794603975,0.0034763975767621224,0.03987771718495679,0.010430206751366754,0.12119815146693527,0.004971474919166005,0.0,0.0056162317176379015,0.015606795105749525,0.026941260380214015,0.015756884444547516,0.026284200395998086,0.012804365610071648,0.006424101127387139,0.03468128674116159,0.008434495709894352,0.07001774868394511,0.037007135949958865,0.022261155684362252,0.29185194574022627,0.13675040877632652,0.10274601441842073
4.276,0.06382724176198969,0.009559936889816737,0.0390741213502958,0.016526261243404002,0.06584284720794274,0.00545125076521605,0.00452388657483293,0.048300329166146815,0.008230850742754698,0.11898815948198951,0.006027633360440326,0.0,0.016106782698071143,0.02077718032615279,0.03244075266182854,0.028230318000437123,0.02743542062090093,0.010551950460252656,0.013966946562526285,0.04170345046128472,0.007681686516736165,0.05635364658437019,0.055375366390267154,0.03265600227218934,0.22714298602783672,0.10831425458058173,0.14777184268123011
4.787,0.05282796041835162,0.008164460485963124,0.028171785352434735,0.01151277939311082,0.057598030608432944,0.004178089316592784,0.0021616627132986198,0.02982848156806238,0.005957701963582728,0.10919256582307238,0.005237097629386072,0.0,0.0021114622984139695,0.017992506662780617,0.024210784433550302,0.013236607181147607,0.023267009888104512,0.01126503236667537,0.00945371072637693,0.03416938082932643,0.006619235544101302,0.042293858430936596,0.0423238460997582,0.03822401506472374,0.1817954152658968,0.09669144241312594,0.14512977329865795
