Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,3,1,2.3333333333333335,1.0,1.0,ns
10s,20s,3,5,2.3333333333333335,5.2,0.7570195618621564,ns
10s,2hz,3,6,2.3333333333333335,2.1666666666666665,0.8917558535067943,ns
10s,2mw,3,1,2.3333333333333335,9.0,1.0,ns
10s,5hz,3,3,2.3333333333333335,2.3333333333333335,1.0,ns
10s,5s,3,5,2.3333333333333335,5.0,0.5411928987419992,ns
10s,Ctrl,3,3,2.3333333333333335,9.666666666666666,0.1,ns
1mw,20s,1,5,1.0,5.2,1.0,ns
1mw,2hz,1,6,1.0,2.1666666666666665,1.0,ns
1mw,2mw,1,1,1.0,9.0,1.0,ns
1mw,5hz,1,3,1.0,2.3333333333333335,1.0,ns
1mw,5s,1,5,1.0,5.0,1.0,ns
1mw,Ctrl,1,3,1.0,9.666666666666666,1.0,ns
20s,2hz,5,6,5.2,2.1666666666666665,0.5100436974333085,ns
20s,2mw,5,1,5.2,9.0,1.0,ns
20s,5hz,5,3,5.2,2.3333333333333335,0.879339414891054,ns
20s,5s,5,5,5.2,5.0,1.0,ns
20s,Ctrl,5,3,5.2,9.666666666666666,0.23024335057740708,ns
2hz,2mw,6,1,2.1666666666666665,9.0,1.0,ns
2hz,5hz,6,3,2.1666666666666665,2.3333333333333335,1.0,ns
2hz,5s,6,5,2.1666666666666665,5.0,0.2910538140765623,ns
2hz,Ctrl,6,3,2.1666666666666665,9.666666666666666,0.02496824916309404,*
2mw,5hz,1,3,9.0,2.3333333333333335,1.0,ns
2mw,5s,1,5,9.0,5.0,1.0,ns
2mw,Ctrl,1,3,9.0,9.666666666666666,1.0,ns
5hz,5s,3,5,2.3333333333333335,5.0,0.5386438230459851,ns
5hz,Ctrl,3,3,2.3333333333333335,9.666666666666666,0.07652250047505924,ns
5s,Ctrl,5,3,5.0,9.666666666666666,0.22457462521920213,ns
