ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.04 [],116.289,16.289,80,100
ROI.04 [],129.785,29.784999999999997,80,100
ROI.04 [],133.78,33.78,80,100
ROI.04 [],147.777,47.77699999999999,80,100
ROI.04 [],199.777,49.77699999999999,130,150
ROI.06 [],146.777,46.77699999999999,80,100
ROI.06 [],199.277,49.27699999999999,130,150
ROI.09 [],50.276,0.27600000000000335,30,50
ROI.09 [],53.778,3.7779999999999987,30,50
ROI.09 [],68.777,18.777,30,50
ROI.09 [],70.289,20.289,30,50
ROI.09 [],79.788,29.787999999999997,30,50
ROI.09 [],87.778,37.778000000000006,30,50
ROI.09 [],99.777,49.777,30,50
ROI.09 [],113.777,13.777000000000001,80,100
ROI.09 [],126.276,26.275999999999996,80,100
ROI.09 [],135.288,35.28800000000001,80,100
ROI.09 [],140.278,40.27799999999999,80,100
ROI.09 [],145.282,45.28200000000001,80,100
ROI.09 [],147.777,47.77699999999999,80,100
ROI.09 [],161.277,11.276999999999987,130,150
ROI.09 [],172.777,22.776999999999987,130,150
ROI.09 [],177.277,27.276999999999987,130,150
ROI.09 [],193.778,43.77799999999999,130,150
ROI.11 [],109.788,9.787999999999997,80,100
ROI.000 [],114.778,14.778000000000006,80,100
ROI.000 [],199.277,49.27699999999999,130,150
