ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.04 [],85.278,35.278000000000006,30,50
ROI.04 [],88.281,38.281000000000006,30,50
ROI.04 [],130.778,30.77799999999999,80,100
ROI.07 [],85.278,35.278000000000006,30,50
ROI.07 [],88.281,38.281000000000006,30,50
ROI.07 [],133.279,33.278999999999996,80,100
ROI.12 [],81.278,31.278000000000006,30,50
ROI.12 [],88.281,38.281000000000006,30,50
ROI.12 [],122.287,22.287000000000006,80,100
ROI.12 [],130.778,30.77799999999999,80,100
ROI.12 [],135.278,35.27799999999999,80,100
ROI.000 [],51.278,1.2779999999999987,30,50
ROI.000 [],54.278,4.277999999999999,30,50
ROI.000 [],57.279,7.2790000000000035,30,50
ROI.000 [],66.278,16.278000000000006,30,50
ROI.000 [],73.278,23.278000000000006,30,50
ROI.000 [],76.278,26.278000000000006,30,50
ROI.000 [],100.778,0.7780000000000058,80,100
ROI.000 [],102.78,2.780000000000001,80,100
ROI.000 [],114.278,14.278000000000006,80,100
ROI.000 [],119.278,19.278000000000006,80,100
ROI.000 [],146.788,46.78800000000001,80,100
ROI.000 [],149.778,49.77799999999999,80,100
ROI.000 [],156.779,6.778999999999996,130,150
ROI.000 [],159.278,9.277999999999992,130,150
ROI.000 [],161.278,11.277999999999992,130,150
ROI.000 [],164.277,14.276999999999987,130,150
ROI.000 [],173.778,23.77799999999999,130,150
ROI.000 [],182.778,32.77799999999999,130,150
ROI.000 [],186.278,36.27799999999999,130,150
ROI.000 [],188.277,38.27699999999999,130,150
ROI.000 [],193.778,43.77799999999999,130,150
ROI.000 [],195.777,45.77699999999999,130,150
