ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.04 [],52.778,2.7779999999999987,30,50
ROI.04 [],60.777,10.777000000000001,30,50
ROI.04 [],71.28,21.28,30,50
ROI.04 [],74.277,24.277,30,50
ROI.04 [],79.777,29.777,30,50
ROI.04 [],83.778,33.778000000000006,30,50
ROI.04 [],94.277,44.277,30,50
ROI.04 [],97.286,47.286,30,50
ROI.04 [],102.278,2.278000000000006,80,100
ROI.04 [],115.777,15.777000000000001,80,100
ROI.04 [],118.278,18.278000000000006,80,100
ROI.04 [],123.277,23.277,80,100
ROI.04 [],127.287,27.287000000000006,80,100
ROI.04 [],133.777,33.77699999999999,80,100
ROI.04 [],144.777,44.77699999999999,80,100
ROI.04 [],150.777,0.7769999999999868,130,150
ROI.04 [],154.282,4.282000000000011,130,150
ROI.04 [],164.277,14.276999999999987,130,150
ROI.04 [],170.276,20.27600000000001,130,150
ROI.04 [],175.777,25.776999999999987,130,150
ROI.04 [],191.285,41.285,130,150
ROI.04 [],197.284,47.28399999999999,130,150
ROI.06 [],108.277,8.277000000000001,80,100
ROI.06 [],132.783,32.78299999999999,80,100
ROI.06 [],138.277,38.27699999999999,80,100
ROI.06 [],152.777,2.776999999999987,130,150
ROI.06 [],167.778,17.77799999999999,130,150
ROI.06 [],172.278,22.27799999999999,130,150
ROI.06 [],176.78,26.78,130,150
ROI.06 [],196.277,46.27699999999999,130,150
ROI.06 [],197.785,47.785,130,150
ROI.09 [],64.777,14.777000000000001,30,50
ROI.09 [],70.287,20.287000000000006,30,50
ROI.09 [],75.777,25.777,30,50
ROI.09 [],79.276,29.275999999999996,30,50
ROI.09 [],86.275,36.275000000000006,30,50
ROI.09 [],96.777,46.777,30,50
ROI.09 [],108.784,8.784000000000006,80,100
ROI.09 [],146.776,46.77600000000001,80,100
ROI.09 [],148.776,48.77600000000001,80,100
ROI.09 [],165.278,15.277999999999992,130,150
ROI.09 [],171.278,21.27799999999999,130,150
ROI.09 [],173.277,23.276999999999987,130,150
ROI.09 [],175.777,25.776999999999987,130,150
ROI.09 [],178.285,28.284999999999997,130,150
ROI.09 [],195.777,45.77699999999999,130,150
ROI.10 [],140.776,40.77600000000001,80,100
ROI.11 [],59.277,9.277000000000001,30,50
ROI.11 [],75.276,25.275999999999996,30,50
ROI.11 [],83.778,33.778000000000006,30,50
ROI.11 [],87.277,37.277,30,50
ROI.11 [],94.778,44.778000000000006,30,50
ROI.11 [],100.786,0.7860000000000014,80,100
ROI.11 [],113.793,13.793000000000006,80,100
ROI.11 [],119.277,19.277,80,100
ROI.11 [],122.777,22.777,80,100
ROI.11 [],128.777,28.776999999999987,80,100
ROI.11 [],135.277,35.27699999999999,80,100
ROI.11 [],148.285,48.285,80,100
ROI.11 [],165.776,15.77600000000001,130,150
ROI.11 [],171.278,21.27799999999999,130,150
ROI.11 [],174.277,24.276999999999987,130,150
ROI.11 [],177.281,27.281000000000006,130,150
ROI.11 [],179.285,29.284999999999997,130,150
ROI.11 [],196.777,46.77699999999999,130,150
ROI.000 [],109.286,9.286000000000001,80,100
