ROI,mean0,sd0,thr
ROI.01 [],0.015311391242873805,0.01043583886920974,0.06749058558892251
ROI.02 [],0.0037740028801582655,0.0015994316077253168,0.01177116091878485
ROI.04 [],0.008717087608124856,0.006048690588800587,0.03896054055212779
ROI.05 [],0.005583126747807112,0.003278393269047558,0.021975093093044903
ROI.06 [],0.037818097878518794,0.024049769212325343,0.15806694394014553
ROI.07 [],0.0024992856441919814,0.0012041626763140993,0.008520099025762479
ROI.08 [],0.004399813678496434,0.0026063288255587704,0.017431457806290285
ROI.09 [],0.009165577687863437,0.008069938056717539,0.04951526797145113
ROI.10 [],0.014098810702615346,0.008283236723661538,0.055514994320923036
ROI.11 [],0.037115259548292014,0.027683120754781188,0.17553086332219794
ROI.12 [],0.0028299534431534437,0.0016893093302085614,0.011276500094196252
