Condition,ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s
10s2,ROI.01 [],1,17.777,17.777,
10s2,[10s2 TOTAL],1,17.777,17.777,
1mW3,ROI.06 [],1,45.27600000000001,45.27600000000001,
1mW3,[1mW3 TOTAL],1,45.27600000000001,45.27600000000001,
20s1,ROI.07 [],2,41.028000000000006,41.028000000000006,1.7677669529663689
20s1,ROI.09 [],2,39.033,39.033,13.794239087387172
20s1,ROI.11 [],2,43.2825,43.2825,0.7148849557796165
20s1,[20s1 TOTAL],6,41.1145,42.527499999999996,6.511494290867499
20s3,ROI.01 [],2,23.786000000000005,23.786000000000005,29.701313236959752
20s3,[20s3 TOTAL],2,23.786000000000005,23.786000000000005,29.701313236959752
20s4,ROI.01 [],1,12.278000000000006,12.278000000000006,
20s4,[20s4 TOTAL],1,12.278000000000006,12.278000000000006,
20s6,ROI.01 [],1,19.788,19.788,
20s6,[20s6 TOTAL],1,19.788,19.788,
2Hz1,ROI.06 [],2,17.2915,17.2915,4.954697215774142
2Hz1,[2Hz1 TOTAL],2,17.2915,17.2915,4.954697215774142
2Hz2,ROI.06 [],1,30.77800000000001,30.77800000000001,
2Hz2,ROI.09 [],1,21.785,21.785,
2Hz2,[2Hz2 TOTAL],2,26.281500000000005,26.281500000000005,6.359011283210629
2Hz3,ROI.08 [],1,49.77799999999999,49.77799999999999,
2Hz3,[2Hz3 TOTAL],1,49.77799999999999,49.77799999999999,
2Hz4,ROI.11 [],1,47.78,47.78,
2Hz4,[2Hz4 TOTAL],1,47.78,47.78,
2Hz5,ROI.11 [],2,19.286500000000004,19.286500000000004,12.715901246077689
2Hz5,[2Hz5 TOTAL],2,19.286500000000004,19.286500000000004,12.715901246077689
2mW2,ROI.04 [],1,3.778999999999997,3.778999999999997,
2mW2,ROI.05 [],1,5.277000000000001,5.277000000000001,
2mW2,ROI.07 [],1,5.777000000000001,5.777000000000001,
2mW2,[2mW2 TOTAL],3,4.944333333333333,5.277000000000001,1.0397121396489215
5Hz1,ROI.06 [],2,40.527,40.527,3.890501510088386
5Hz1,[5Hz1 TOTAL],2,40.527,40.527,3.890501510088386
5Hz2,ROI.01 [],1,4.277999999999992,4.277999999999992,
5Hz2,[5Hz2 TOTAL],1,4.277999999999992,4.277999999999992,
5Hz3,ROI.01 [],1,19.27800000000001,19.27800000000001,
5Hz3,ROI.11 [],1,8.777000000000001,8.777000000000001,
5Hz3,[5Hz3 TOTAL],2,14.027500000000005,14.027500000000005,7.425328309239942
5s1,ROI.11 [],10,40.782,36.534,25.348995627703545
5s1,[5s1 TOTAL],10,40.782,36.534,25.348995627703545
5s2,ROI.11 [],5,24.9792,6.2819999999999965,34.6969869974325
5s2,[5s2 TOTAL],5,24.9792,6.2819999999999965,34.6969869974325
5s4,ROI.11 [],1,27.277,27.277,
5s4,[5s4 TOTAL],1,27.277,27.277,
5s6,ROI.05 [],2,18.027,18.027,1.7677669529663689
5s6,[5s6 TOTAL],2,18.027,18.027,1.7677669529663689
Ctrl1,ROI.09 [],4,13.779000000000003,10.031000000000002,12.238328698532879
Ctrl1,ROI.10 [],1,40.77600000000001,40.77600000000001,
Ctrl1,[Ctrl1 TOTAL],5,19.178400000000003,12.776000000000003,16.06549466403074
Ctrl2,ROI.11 [],2,28.03249999999999,28.03249999999999,23.68029899515628
Ctrl2,[Ctrl2 TOTAL],2,28.03249999999999,28.03249999999999,23.68029899515628
Ctrl3,ROI.09 [],1,19.77799999999999,19.77799999999999,
Ctrl3,ROI.11 [],1,26.295999999999992,26.295999999999992,
Ctrl3,[Ctrl3 TOTAL],2,23.036999999999992,23.036999999999992,4.6089219997739175
ALL,OVERALL,55,27.908236363636366,25.278,20.104198102187176
