Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 []
0.259,-0.9309870245636372,-0.7562556010250039,-0.9053608261253719,-0.8033382187692426,-0.9748292282727181,-0.6600948103544786,-0.7605044039320862,-0.8457495931845403,-0.8474184594154667,-0.9629007612167622,-0.6626892897002578,-1.0
0.777,-0.9328228400040937,-0.7578003674995442,-0.9070188095628894,-0.8044728186836554,-0.9756207003477484,-0.6610205914867808,-0.7633552202036696,-0.846776835682035,-0.8482207647167113,-0.9628737660089713,-0.6634066579139014,-1.0
1.297,-0.9338902393214766,-0.7575976300043017,-0.9066667951349562,-0.8040504412323295,-0.9745388746460284,-0.6615111901170577,-0.7627434189727861,-0.8459460356797227,-0.8463781656149821,-0.9631801987190202,-0.6642956988659028,-1.0
1.777,-0.9343483548990871,-0.7578673194440501,-0.9070808800617792,-0.8052268487201424,-0.9753434916017164,-0.661690086241968,-0.7635382293208871,-0.8457145410673914,-0.8495208326931561,-0.963655061016,-0.6640101821467915,-1.0
2.288,-0.9360654854794844,-0.7589482569499406,-0.9070142003287139,-0.8063704824256916,-0.9765573909040485,-0.66225453465754,-0.7631958235058561,-0.8471231521153756,-0.8500594803891307,-0.9642269198106141,-0.6650773082585106,-1.0
2.778,-0.9368690771822279,-0.7582509181830407,-0.9071796613805252,-0.8065567392522711,-0.9756778306670431,-0.662435862248422,-0.7633932035607938,-0.8481359196722993,-0.8509133251146653,-0.9636302395986032,-0.6646351095207002,-1.0
3.278,-0.9375065245964477,-0.757488901773344,-0.9070517215667308,-0.8058906563739368,-0.9767776874129032,-0.6623519313281668,-0.7643440311144526,-0.8472205024726133,-0.849640486164499,-0.9630788316820259,-0.6652843138774067,-1.0
3.778,-0.9385297760305039,-0.7590226612202061,-0.9081667028597511,-0.8065209442593501,-0.9770661455987646,-0.6628929866931413,-0.763789359218395,-0.848739316733534,-0.8482556488784915,-0.9651259238622218,-0.6651646346993458,-1.0
4.277,-0.9394034144883016,-0.7590075580114484,-0.9074354094118232,-0.8062605731768753,-0.9764264280233723,-0.6630433658472921,-0.7629645371187633,-0.8461511794488948,-0.849083293094164,-0.9654234954445818,-0.6647530434361449,-1.0
4.787,-0.9395571685357345,-0.7584592917538792,-0.9078552512392303,-0.806893341163709,-0.9767688805676881,-0.6631555643364698,-0.7640781954993474,-0.8472261229235243,-0.8478148362345217,-0.964760418901843,-0.6646493174102959,-1.0
5.278,-0.9403804792571502,-0.7590117922719402,-0.9088040768862329,-0.8068453249178662,-0.9764578655717621,-0.6630380384599548,-0.763892365729049,-0.8484277756285552,-0.8495203331470017,-0.9635383944421873,-0.6655047946958543,-1.0
5.787,-0.9415067854564898,-0.759552117972355,-0.9087239705309476,-0.807386240012986,-0.9780281334554128,-0.6638137516950138,-0.7633322269100126,-0.8479107883254399,-0.8500310125636142,-0.9659307867735759,-0.665328701478863,-1.0
6.277,-0.9409029110011932,-0.7590393728448804,-0.9077125661752312,-0.8071173905066726,-0.9768580260906735,-0.6634515533758593,-0.7623389950308231,-0.8475898051330889,-0.8511857398215048,-0.9666217977233182,-0.6650999182078733,-1.0
