Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 []
0.257,-0.7765875635879933,-0.6908909605765765,-0.8509600291652839,-0.7130451943044271,-0.9112157150457949,-0.6201917386186507,-0.7503728512219074,-0.8293215363539855,-0.7639574076859437,-0.9525569968871971,-0.6275203703244651,-1.0
0.778,-0.7815794706635785,-0.6930826895182386,-0.8530503684418044,-0.7150093008710242,-0.9126446463847354,-0.6213270140564205,-0.7517718686236075,-0.8303058552013338,-0.7658874888673518,-0.953475962075918,-0.6289697862366674,-1.0
1.276,-0.7855305339948643,-0.692241810551376,-0.851721091772698,-0.7146391239019886,-0.9139984198825357,-0.6213412100633887,-0.7507979274787663,-0.8317817669496227,-0.7655317875605634,-0.9523830277236222,-0.6279225700489984,-1.0
1.777,-0.7897118646440774,-0.693343244629938,-0.852949931115751,-0.7162406982275098,-0.9157360589685912,-0.6224885989483392,-0.7530264637508971,-0.8315629538415922,-0.7658167858305553,-0.9537968599929565,-0.6288365218907903,-1.0
2.277,-0.7929066287854218,-0.6947916035648701,-0.8528827191866836,-0.7176993391168728,-0.9146743854031273,-0.6225067772424903,-0.7520879962509464,-0.8357625903586421,-0.7663882997032663,-0.9547136597589763,-0.6287107296512862,-1.0
2.788,-0.795675303705062,-0.6937908084127639,-0.8530156368091102,-0.7186668548392692,-0.9151460656888821,-0.623199189572322,-0.7514513077638573,-0.8345305710591251,-0.7659581468830495,-0.9542111838022819,-0.6295017127030424,-1.0
3.278,-0.7977194824584432,-0.6944111557081565,-0.8519228304077242,-0.7183813787564413,-0.9151969384754166,-0.6229098630328883,-0.7519030196560338,-0.837180684268121,-0.766136356986227,-0.9561037641708279,-0.6300795047658695,-1.0
3.777,-0.7993200386816468,-0.6943920616329045,-0.8520692117894362,-0.7200408452859862,-0.9153265668584326,-0.6228623271320352,-0.7518262823762125,-0.8375524591415335,-0.7664352522850504,-0.9554228444407262,-0.6296836939485316,-1.0
4.276,-0.8007408421524325,-0.6940901366393644,-0.851477687403086,-0.7189391774567021,-0.9153569432986993,-0.6228557325186433,-0.7515672237282444,-0.8362366961615548,-0.7669436417095367,-0.9555107104048084,-0.629294516044142,-1.0
4.787,-0.8028926334922134,-0.694468877116467,-0.8529911469238616,-0.7204507495803073,-0.9159890433632925,-0.6233243004641779,-0.7521490714960929,-0.8392930098653878,-0.7674320997292602,-0.9559148258048275,-0.6295714169566663,-1.0
5.277,-0.8040732537117661,-0.6946861726409984,-0.8536837848803925,-0.7208492404857293,-0.9173846872779323,-0.6238885740040502,-0.7526042536893119,-0.8395285053452378,-0.7680895103194999,-0.957981005518846,-0.6305417907259057,-1.0
5.788,-0.8045818411472905,-0.6955003346512793,-0.8544591138446264,-0.7206293326050198,-0.9164204234983664,-0.6243350280988071,-0.7527264209220392,-0.8383768283384129,-0.7691523794911171,-0.9579124565902624,-0.6306987307108404,-1.0
6.277,-0.8062169723699374,-0.6957975105290486,-0.8541948512452882,-0.7215878432267115,-0.9173119493238858,-0.62440802936895,-0.7522447295919279,-0.8414376911091596,-0.7671058446549182,-0.9595587677042805,-0.6308317876678056,-1.0
6.788,-0.8069829184101855,-0.6961793868772278,-0.8543824531973916,-0.7217545109019705,-0.9165038836731073,-0.6242240722143308,-0.7519716222465056,-0.8415282850933005,-0.7688334777892339,-0.9600366598606398,-0.6305752804690468,-1.0
7.278,-0.8070616227237932,-0.6966359129235419,-0.8544733056651673,-0.721691364165421,-0.9168571556382947,-0.6243038354394821,-0.7516637735139675,-0.8410593882477965,-0.769171817101809,-0.9601276667767041,-0.6312619867117256,-1.0
7.777,-0.8075723855730093,-0.6962482746497576,-0.855085703835122,-0.7212319580325561,-0.9195379281457349,-0.6234630113252939,-0.7505402069168154,-0.8410760345983032,-0.7680015627636884,-0.9593848686778947,-0.6299902234532881,-1.0
8.277,-0.8085704885245376,-0.6964885521108553,-0.854668140126412,-0.72230335100583,-0.9168652990942118,-0.6244410907741397,-0.752409646816094,-0.842855221310065,-0.7708144990722973,-0.9602405204186482,-0.6312721266838311,-1.0
8.776,-0.8088487406438296,-0.6963479801656534,-0.8560336886989467,-0.7230483575002515,-0.9191537250173247,-0.6242451907445234,-0.7519578151086851,-0.8408539634373159,-0.766438670901933,-0.9580213147249828,-0.6311397365166912,-1.0
9.277,-0.8094090327849447,-0.6962288570070494,-0.8554308272401602,-0.7230554136037188,-0.9185567686230379,-0.624847843882948,-0.7522433403140101,-0.8420002017257734,-0.766678092665015,-0.9587854131691851,-0.6307280459826634,-1.0
9.788,-0.8097517128254189,-0.696356339645499,-0.8576703459797097,-0.7234099901236914,-0.9192246721499993,-0.6247169238192726,-0.7517902516835182,-0.8403231155571801,-0.7669676564284383,-0.9586120821363054,-0.6314877261593946,-1.0
10.278,-0.8106313907079022,-0.6971799182179997,-0.8561168019332397,-0.7228041512979456,-0.9213713112000844,-0.6248297148526301,-0.7526843616423249,-0.842480579490128,-0.7661074596350891,-0.9569339567419185,-0.63140045751161,-1.0
10.777,-0.8107631403852594,-0.6979169857253634,-0.8578126400559402,-0.7227814568517356,-0.9204126303226254,-0.6248354960551414,-0.75273017067712,-0.8440590070273106,-0.7662193723534099,-0.9586548966025515,-0.6308301657620642,-1.0
11.279,-0.8102765135190464,-0.6961943500908059,-0.856202045393329,-0.7219057409629291,-0.9203979555697105,-0.6239789884140923,-0.7522480745658262,-0.8420820821786688,-0.7651540658478837,-0.9569231579692046,-0.6304846206173172,-1.0
11.778,-0.810979403038048,-0.6963925643206021,-0.8553714660431533,-0.7224192170927148,-0.9205850716718786,-0.6247443045569923,-0.7526787308777025,-0.8424719521348776,-0.763939299248542,-0.9591043316868626,-0.6307577349245598,-1.0
12.277,-0.8116185955695489,-0.6969811405695989,-0.8568363275187688,-0.7224513381763437,-0.9206032877485738,-0.6242616539655494,-0.7519909224889028,-0.8416210921370267,-0.7663260730222186,-0.9602650355114424,-0.6310619363416261,-1.0
12.775,-0.8115105869000862,-0.6966647408956725,-0.8563744592029459,-0.722425642878176,-0.9196873385998899,-0.6244957129265756,-0.7514122770052822,-0.8437546442951452,-0.7666660702616579,-0.9604584564344755,-0.6305127425030465,-1.0
13.286,-0.8116024153725304,-0.6956156068598415,-0.8561872088733206,-0.7233163920309322,-0.9198914143709748,-0.6246622628436573,-0.751856143307998,-0.8430383995811156,-0.7673564907200497,-0.9595777986826333,-0.6307974002990369,-1.0
13.779,-0.8118342400922627,-0.6959450663823553,-0.857044105470853,-0.7236372948024049,-0.920781584864877,-0.6251873812816364,-0.7522428908863243,-0.8418868250099093,-0.7657216437482317,-0.9601961365276352,-0.6322574704506567,-1.0
14.295,-0.8121995987687952,-0.6971256897478698,-0.8565623067402829,-0.7225617285389715,-0.9189505220243446,-0.6247085722034396,-0.7525079369197535,-0.8429659073086935,-0.7676646475337469,-0.9602871250684244,-0.6311754029182981,-1.0
14.782,-0.8124052246886139,-0.6961475841157388,-0.8565172248762233,-0.722876154732802,-0.917894159020642,-0.6245689146868885,-0.7520001658997498,-0.8437741812311609,-0.7665976805571656,-0.9588133872280944,-0.6315023120754125,-1.0
15.286,-0.8132667666733309,-0.6963086815669158,-0.8575122603055144,-0.723073547177473,-0.9189725023032419,-0.6255705000026988,-0.7524074618244903,-0.8422540180470105,-0.7676570550074409,-0.9591893633179058,-0.6318629710275717,-1.0
15.784,-0.8127292913364373,-0.6962352314919462,-0.8556783802569514,-0.7240936801429406,-0.9188514711518064,-0.6249724626177484,-0.7501958875030466,-0.8423368219213465,-0.7686333632067338,-0.9595799154970723,-0.6314937174954924,-1.0
16.277,-0.8129345541160998,-0.6962279120756575,-0.8563362612402033,-0.7246644139754466,-0.9185331122594468,-0.6248974952949251,-0.7520296409286541,-0.8460853439906538,-0.767000895605537,-0.9601149809014716,-0.6318346321151532,-1.0
16.776,-0.8126938344125213,-0.6964177821517219,-0.8550052990288931,-0.7235031829597288,-0.9163957080500882,-0.6247474416112466,-0.7520529445430694,-0.8435818760592461,-0.7675240874585972,-0.9587745448059114,-0.6306399032906995,-1.0
17.277,-0.8123084521357652,-0.695024279362386,-0.854942305695762,-0.7230375978558139,-0.9175242766176865,-0.6234035736429437,-0.7516631073302611,-0.8430041235482137,-0.7662202654746751,-0.9586481889136923,-0.6295784823587482,-1.0
17.778,-0.8120126937418715,-0.6951038293117765,-0.8554806942807068,-0.7225297262609244,-0.9166366310800019,-0.6229971842971868,-0.75058007713989,-0.8424348257903007,-0.7668964833802189,-0.9581910568613358,-0.6287082042329646,-1.0
18.287,-0.8121639153069962,-0.6957524265825097,-0.8536950325180329,-0.7223475671114413,-0.9154187845663561,-0.6231963379351155,-0.7507798466095419,-0.8439714863618051,-0.766159522056329,-0.9577233327055031,-0.6295211643867471,-1.0
18.777,-0.8125409633531885,-0.6958919751680525,-0.8526767664558642,-0.7227840346679621,-0.916818650131043,-0.6238534751590484,-0.7519456423222569,-0.8427235720313824,-0.7675875876726101,-0.9595553157602916,-0.6306577672129834,-1.0
19.278,-0.8127900146578063,-0.696625125303437,-0.853330359025498,-0.7237120851136655,-0.9176035982534133,-0.623570737159256,-0.7511854990193326,-0.8443867789869236,-0.7680387937747072,-0.9584982812638485,-0.6301386269877485,-1.0
19.777,-0.8128541117465171,-0.6962004251390108,-0.8527112651299229,-0.7235974010516957,-0.9163905080282251,-0.6231678986341936,-0.7514289912643346,-0.8423897192234112,-0.7659339175672586,-0.9602566510895914,-0.6289829869528691,-1.0
20.287,-0.8133708783741223,-0.6958572814122338,-0.8536034013952101,-0.7238176473261275,-0.9180889432946115,-0.6233536840750832,-0.7514868155137139,-0.8455545508929312,-0.7683057862598245,-0.9612809302142533,-0.6308064607387014,-1.0
20.776,-0.812992945906892,-0.6961030952372927,-0.853860280490467,-0.7237218931630198,-0.9166864648663913,-0.6238800239664548,-0.7506831402165632,-0.8447031235593621,-0.7713716886028866,-0.9628220835611099,-0.6308864394560528,-1.0
21.286,-0.8136585459013393,-0.6956799710782414,-0.8536610949631916,-0.7226620489431013,-0.9196594325578359,-0.6239316001404004,-0.751316645848924,-0.8425224067414773,-0.770463043465333,-0.9603767075435485,-0.6311340984649993,-1.0
21.776,-0.8135118189896776,-0.696302222880214,-0.8532441500453808,-0.7234014737713139,-0.9185027098891416,-0.624008765788206,-0.751176853444458,-0.8457723651598981,-0.7700004046588446,-0.9613901577465946,-0.6305498918110467,-1.0
