ROI,mean0,sd0,thr
ROI.01 [],-0.8473996605871325,0.007369549797895721,-0.8105519115976538
ROI.02 [],-0.7073199352191333,0.0006144227954437808,-0.7042478212419143
ROI.04 [],-0.875493570139797,0.0006731623174591617,-0.8721277585525012
ROI.05 [],-0.7503461938086721,0.0009704401658339178,-0.7454939929795025
ROI.06 [],-0.9479140906414678,0.0014834059444192977,-0.9404970609193714
ROI.07 [],-0.6359395709829603,0.00046084869980107064,-0.6336353274839549
ROI.08 [],-0.7512736760764827,0.0005809786826674307,-0.7483687826631455
ROI.09 [],-0.85932775565074,0.001396108761905435,-0.8523472118412129
ROI.10 [],-0.7835276601911183,0.001173221855579813,-0.7776615509132192
ROI.11 [],-0.9564784427266069,0.0023753509935252257,-0.9446016877589808
ROI.12 [],-0.6366442640580926,0.0004788490289972039,-0.6342500189131066
