ROI,mean0,sd0,thr
ROI.01 [],1.0194039556836734,0.04512053213680354,1.2450066163676912
ROI.02 [],0.15275892519257325,0.0016271344325529905,0.1608945973553382
ROI.04 [],0.13924982550317247,0.0063268547957013215,0.17088409948167907
ROI.05 [],0.1585221021148238,0.002580575067890727,0.17142497745427743
ROI.06 [],0.5479936463966081,0.04889761179597609,0.7924817053764885
ROI.07 [],0.0519880991154291,0.001681268847519302,0.06039444335302561
ROI.08 [],0.045862375206556755,0.0033421871286262103,0.06257331084968781
ROI.09 [],0.012651262918471157,0.008822241512255804,0.05676247047975017
ROI.10 [],0.31831860996535144,0.005405065050548989,0.34534393521809637
ROI.11 [],0.3357591770644863,0.03403851256477578,0.5059517398883653
ROI.12 [],0.057453183015873495,0.0016279061530989386,0.06559271378136819
