Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mW,3,1,2.0,1.0,1.0,ns
10s,20s,3,7,2.0,4.571428571428571,0.29610719319576284,ns
10s,2Hz,3,6,2.0,2.1666666666666665,0.8902300549434974,ns
10s,2mW,3,1,2.0,4.0,1.0,ns
10s,5Hz,3,4,2.0,2.75,0.7162897505408428,ns
10s,5s,3,4,2.0,2.75,0.4587185587250222,ns
10s,Ctrl,3,3,2.0,7.0,0.07652250047505924,ns
1mW,20s,1,7,1.0,4.571428571428571,1.0,ns
1mW,2Hz,1,6,1.0,2.1666666666666665,1.0,ns
1mW,2mW,1,1,1.0,4.0,1.0,ns
1mW,5Hz,1,4,1.0,2.75,1.0,ns
1mW,5s,1,4,1.0,2.75,1.0,ns
1mW,Ctrl,1,3,1.0,7.0,1.0,ns
20s,2Hz,7,6,4.571428571428571,2.1666666666666665,0.21624748948892258,ns
20s,2mW,7,1,4.571428571428571,4.0,1.0,ns
20s,5Hz,7,4,4.571428571428571,2.75,0.6311163361889602,ns
20s,5s,7,4,4.571428571428571,2.75,0.6253755822266509,ns
20s,Ctrl,7,3,4.571428571428571,7.0,0.10736446520661455,ns
2Hz,2mW,6,1,2.1666666666666665,4.0,1.0,ns
2Hz,5Hz,6,4,2.1666666666666665,2.75,0.7373156772164182,ns
2Hz,5s,6,4,2.1666666666666665,2.75,0.5023349543605021,ns
2Hz,Ctrl,6,3,2.1666666666666665,7.0,0.024340920043991545,*
2mW,5Hz,1,4,4.0,2.75,1.0,ns
2mW,5s,1,4,4.0,2.75,1.0,ns
2mW,Ctrl,1,3,4.0,7.0,1.0,ns
5Hz,5s,4,4,2.75,2.75,1.0,ns
5Hz,Ctrl,4,3,2.75,7.0,0.04974599072150299,*
5s,Ctrl,4,3,2.75,7.0,0.04767810313602185,*
