Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,1,10,0.0,6.357600000000001,1.0,ns
10s,2Hz,1,3,0.0,20.953666666666667,1.0,ns
10s,2mW,1,2,0.0,4.527999999999999,1.0,ns
10s,5Hz,1,3,0.0,4.351666666666664,1.0,ns
10s,5s,1,6,0.0,40.23533333333333,1.0,ns
10s,Ctrl,1,8,0.0,7.802249999999998,1.0,ns
20s,2Hz,10,3,6.357600000000001,20.953666666666667,0.043010229973694046,*
20s,2mW,10,2,6.357600000000001,4.527999999999999,0.15973503640712683,ns
20s,5Hz,10,3,6.357600000000001,4.351666666666664,0.3528685152910225,ns
20s,5s,10,6,6.357600000000001,40.23533333333333,0.019769406440668012,*
20s,Ctrl,10,8,6.357600000000001,7.802249999999998,0.20648836093940526,ns
2Hz,2mW,3,2,20.953666666666667,4.527999999999999,0.2,ns
2Hz,5Hz,3,3,20.953666666666667,4.351666666666664,0.1,ns
2Hz,5s,3,6,20.953666666666667,40.23533333333333,0.38095238095238093,ns
2Hz,Ctrl,3,8,20.953666666666667,7.802249999999998,0.07993783771611235,ns
2mW,5Hz,2,3,4.527999999999999,4.351666666666664,1.0,ns
2mW,5s,2,6,4.527999999999999,40.23533333333333,0.2857142857142857,ns
2mW,Ctrl,2,8,4.527999999999999,7.802249999999998,0.6917285375560145,ns
5Hz,5s,3,6,4.351666666666664,40.23533333333333,0.11978207864521336,ns
5Hz,Ctrl,3,8,4.351666666666664,7.802249999999998,1.0,ns
5s,Ctrl,6,8,40.23533333333333,7.802249999999998,0.05021486320444155,ns
