ROI,mean0,sd0,thr
ROI.01 [],0.06948173372515926,0.013161512672418175,0.10896627174241377
ROI.02 [],0.0034892335464150764,0.002373787944448717,0.010610597379761227
ROI.04 [],0.013908273132082125,0.006235479160376156,0.0326147106132106
ROI.05 [],0.010826742036148754,0.003957391892071801,0.02269891771236416
ROI.06 [],0.059600585943250003,0.043620714196063476,0.19046272853144042
ROI.07 [],0.005131898038916726,0.0013738955511789846,0.00925358469245368
ROI.08 [],0.0021824369171149095,0.0030830646201701777,0.011431630777625443
ROI.09 [],0.05992232317486659,0.008095378098250205,0.0842084574696172
ROI.10 [],0.009422396231952587,0.009310326729128932,0.03735337641933938
ROI.11 [],0.11642496351720297,0.023057489357143787,0.18559743158863434
ROI.12 [],0.001167363314434907,0.001659994033183062,0.006147345413984093
