ROI,Spike_Count,Mean_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],9,24.504222222222225,24.27799999999999,8.479289309514353,2.826429769838118
ROI.02 [],1,4.779000000000004,4.779000000000004,0.0,0.0
ROI.04 [],1,23.779,23.779,0.0,0.0
ROI.05 [],2,18.027,18.027,10.25304832720494,7.25
ROI.06 [],5,19.283,13.278000000000006,17.20513926127888,7.694372190114018
ROI.07 [],2,19.027500000000003,19.027500000000003,9.545234439237202,6.749499999999998
ROI.08 [],1,20.77800000000001,20.77800000000001,0.0,0.0
ROI.09 [],6,18.86033333333334,17.276500000000006,17.23027185701568,7.034229029854262
ROI.10 [],1,2.776000000000004,2.776000000000004,0.0,0.0
ROI.11 [],17,33.605999999999995,30.295,25.283312149518704,6.13210391517223
ROI.12 [],1,11.778000000000006,11.778000000000006,0.0,0.0
