ROI,mean0,sd0,thr
ROI.01 [],0.047669503876318915,0.010267763847140883,0.07847279541774156
ROI.02 [],0.002763377503723161,0.002165620256247329,0.009260238272465148
ROI.04 [],0.005600113194929851,0.005628689047809582,0.022486180338358596
ROI.05 [],0.0033361513621722374,0.0025143635765169704,0.010879242091723149
ROI.06 [],0.08384457302196775,0.03795936541015686,0.19772266925243834
ROI.07 [],0.0018322421566268306,0.001370976557741153,0.00594517182985029
ROI.08 [],0.010334588282851146,0.0054014685904906585,0.02653899405432312
ROI.09 [],0.009861724167719252,0.00911133204297776,0.03719572029665253
ROI.10 [],0.00426187965858764,0.008021824223710953,0.028327352329720498
ROI.11 [],0.039841065807122086,0.03172989058082737,0.1350307375496042
ROI.12 [],0.002331607406859295,0.0012621849196399163,0.006118162165779043
