ROI,mean0,sd0,thr
ROI.01 [],0.025080687335919654,0.006322765953113926,0.04404898519526143
ROI.02 [],0.004653178304697191,0.0025163918156175594,0.01220235375154987
ROI.04 [],0.015815563977080827,0.006504669400202193,0.03532957217768741
ROI.05 [],0.00595956419672596,0.004883162990753468,0.020609053168986362
ROI.06 [],0.02429888940683132,0.03734634053675379,0.1363379110170927
ROI.07 [],0.002930923917430931,0.001424458519503947,0.007204299475942772
ROI.08 [],0.003381859624235003,0.002759163929674917,0.011659351413259755
ROI.09 [],0.009236888653273824,0.011089746387585427,0.0425061278160301
ROI.10 [],0.01269912771407404,0.010315120096190853,0.0436444880026466
ROI.11 [],0.04650762883890723,0.04337643552018535,0.1766369353994633
ROI.12 [],0.003361450921050902,0.0016390145411445134,0.008278494544484443
