filename,group,replicate,n_rois,n_spiking_rois,total_spikes,status,error
10s1.csv,10s,1,0,0,0,success,
10s2.csv,10s,2,3,3,6,success,
10s3.csv,10s,3,1,1,1,success,
10s4.csv,10s,4,1,1,1,success,
10s5.csv,10s,5,0,0,0,success,
10s6.csv,10s,6,1,1,1,success,
1mW1.csv,1mW,1,0,0,0,success,
1mW2.csv,1mW,2,0,0,0,success,
1mW3.csv,1mW,3,1,1,1,success,
20s1.csv,20s,1,6,6,11,success,
20s2.csv,20s,2,2,2,3,success,
20s3.csv,20s,3,3,3,5,success,
20s4.csv,20s,4,2,2,4,success,
20s5.csv,20s,5,0,0,0,success,
20s6.csv,20s,6,1,1,1,success,
20s7.csv,20s,7,1,1,4,success,
20s8.csv,20s,8,1,1,1,success,
2Hz1.csv,2Hz,1,3,3,5,success,
2Hz2.csv,2Hz,2,1,1,1,success,
2Hz3.csv,2Hz,3,2,2,4,success,
2Hz4.csv,2Hz,4,0,0,0,success,
2Hz5.csv,2Hz,5,2,2,4,success,
2Hz6.csv,2Hz,6,1,1,1,success,
2mW1.csv,2mW,1,0,0,0,success,
2mW2.csv,2mW,2,3,3,3,success,
2mW3.csv,2mW,3,0,0,0,success,
5Hz1.csv,5Hz,1,1,1,1,success,
5Hz2.csv,5Hz,2,1,1,1,success,
5Hz3.csv,5Hz,3,2,2,2,success,
5Hz4.csv,5Hz,4,0,0,0,success,
5Hz5.csv,5Hz,5,0,0,0,success,
5Hz6.csv,5Hz,6,0,0,0,success,
5s1.csv,5s,1,2,2,5,success,
5s2.csv,5s,2,2,2,4,success,
5s3.csv,5s,3,1,1,1,success,
5s4.csv,5s,4,1,1,2,success,
5s5.csv,5s,5,0,0,0,success,
5s6.csv,5s,6,1,1,1,success,
Ctrl1.csv,Ctrl,1,2,2,3,success,
Ctrl2.csv,Ctrl,2,2,2,4,success,
Ctrl3.csv,Ctrl,3,2,2,6,success,
