ROI,mean0,sd0,thr
ROI.01 [],0.01399190111363495,0.008043469738735426,0.03812231032984123
ROI.02 [],0.0045635831699722615,0.0022999707579916787,0.011463495443947298
ROI.04 [],0.011535304993511075,0.004206632659927502,0.02415520297329358
ROI.05 [],0.005095876276281525,0.0022614056266320433,0.011880093156177655
ROI.06 [],0.08571635459361562,0.04304357423023167,0.21484707728431063
ROI.07 [],0.0033167930872501686,0.00147781052422486,0.0077502246599247485
ROI.08 [],0.005898038619659377,0.0025197275009940906,0.013457221122641649
ROI.09 [],0.012083466610203491,0.010364248441395262,0.04317621193438928
ROI.10 [],0.008377243659425285,0.005978279072954251,0.026312080878288038
ROI.11 [],0.03660957649216367,0.033343520952600236,0.13664013934996438
ROI.12 [],0.003263792827464134,0.0017604351649555961,0.008545098322330922
