ROI,mean0,sd0,thr
ROI.01 [],0.015177620519456132,0.008720678033680086,0.04133965462049639
ROI.02 [],0.005608226066861101,0.0030612433761613984,0.014791956195345296
ROI.04 [],0.009048533715068937,0.006029518712714472,0.02713708985321235
ROI.05 [],0.0065821588122598525,0.004872714025931881,0.021200300890055493
ROI.06 [],0.049974808078939885,0.050252695547719,0.2007328947220969
ROI.07 [],0.0032837376935820894,0.0013083487285657628,0.007208783879279378
ROI.08 [],0.0053884257624252085,0.0018252554125222698,0.010864191999992018
ROI.09 [],0.00958129394284137,0.011194499884146104,0.04316479359527969
ROI.10 [],0.01665657164824957,0.017113989646495516,0.06799854058773612
ROI.11 [],0.044310536988948004,0.03550967250953278,0.15083955451754635
ROI.12 [],0.0032808501101681425,0.0014399415578574281,0.007600674783740427
