Parameter,Replicate,ROI,spike_time_s
10s,2,1,97.777
10s,2,6,182.787
10s,2,11,85.777
10s,2,11,122.776
10s,2,11,159.295
10s,2,11,174.777
10s,3,2,77.277
10s,4,1,121.279
10s,6,1,33.286
1mW,3,6,145.276
20s,1,5,85.777
20s,1,7,86.289
20s,1,9,49.277
20s,1,9,129.279
20s,1,10,32.776
20s,1,10,88.287
20s,1,11,50.778
20s,1,11,94.278
20s,1,11,140.278
20s,1,11,193.788
20s,1,12,89.778
20s,2,9,34.276
20s,2,9,93.779
20s,2,10,33.279
20s,3,1,52.784
20s,3,1,144.788
20s,3,1,170.288
20s,3,10,96.777
20s,3,11,82.777
20s,4,1,42.79
20s,4,1,112.278
20s,4,1,149.779
20s,4,11,142.777
20s,6,1,119.788
20s,7,11,37.792
20s,7,11,78.277
20s,7,11,149.779
20s,7,11,165.777
20s,8,1,77.787
2Hz,1,1,147.278
2Hz,1,6,70.795
2Hz,1,6,113.788
2Hz,1,6,133.279
2Hz,1,8,100.778
2Hz,2,11,185.779
2Hz,3,6,48.778
2Hz,3,6,113.283
2Hz,3,6,131.279
2Hz,3,8,199.778
2Hz,5,6,175.777
2Hz,5,11,78.278
2Hz,5,11,93.278
2Hz,5,11,110.295
2Hz,6,11,106.779
2mW,2,4,105.277
2mW,2,5,105.277
2mW,2,7,105.777
5Hz,1,6,87.776
5Hz,2,1,154.278
5Hz,3,1,119.278
5Hz,3,11,58.777
5s,1,8,63.279
5s,1,11,58.278
5s,1,11,124.278
5s,1,11,147.78
5s,1,11,199.289
5s,2,6,52.777
5s,2,11,39.282
5s,2,11,76.282
5s,2,11,99.277
5s,3,1,138.788
5s,4,1,29.776
5s,4,1,83.278
5s,6,2,34.779
Ctrl,1,9,53.778
Ctrl,1,9,131.276
Ctrl,1,10,140.776
Ctrl,2,9,77.277
Ctrl,2,9,145.276
Ctrl,2,11,111.288
Ctrl,2,11,194.777
Ctrl,3,9,33.285
Ctrl,3,9,101.278
Ctrl,3,9,172.779
Ctrl,3,11,41.278
Ctrl,3,11,139.277
Ctrl,3,11,176.296
