ROI,mean0,sd0,thr
ROI.E [],0.01085747286459943,0.004182176234182162,0.023404001567145914
ROI.C [],0.010415978159370204,0.004196144891011943,0.02300441283240603
ROI.A [],0.005573785956383746,0.001767355780576752,0.010875853298114002
ROI.F [],0.027315714924147597,0.007823328011050939,0.05078569895730041
ROI.B [],0.003712525959232326,0.0007986554220486498,0.006108492225378275
ROI.D [],0.04506711669907342,0.021323454287945607,0.10903747956291024
ROI.01 [],0.00896751940551897,0.005982551273500393,0.02691517322602015
ROI.02 [],0.008750343654380863,0.005446090271626609,0.025088614469260688
ROI.03 [],0.010516137935360267,0.005613427686249539,0.02735642099410888
ROI.04 [],0.009132887661492986,0.005446408101469821,0.025472111965902447
ROI.05 [],0.004471400248646805,0.0022411496725613313,0.0111948492663308
ROI.06 [],0.006277432543975687,0.0033071538103562003,0.016198893975044287
ROI.09 [],0.011068569676226984,0.006146508022961208,0.029508093745110608
ROI.10 [],0.01311727949229469,0.008245302678089615,0.03785318752656354
ROI.11 [],0.011334021623663329,0.007135697861449343,0.03274111520801136
ROI.12 [],0.01313516013324274,0.004155813590422759,0.025602600904511018
ROI.13 [],0.019191522707889534,0.007882878424220053,0.042840157980549694
ROI.14 [],0.010686860312385586,0.006191895133100727,0.029262545711687765
ROI.16 [],0.015588356211870328,0.005297493610539065,0.031480837043487524
ROI.17 [],0.010926416283879562,0.005406561782789334,0.027146101632247566
ROI.18 [],0.017257377995822665,0.004277072464580789,0.03008859538956503
ROI.19 [],0.0118501881081523,0.005641985597270547,0.02877614489996394
ROI.20 [],0.012402306783273642,0.006209343634481222,0.031030337686717306
ROI.21 [],0.012305548397255305,0.0061814587459177355,0.030849924635008512
ROI.22 [],0.03386562520602884,0.0202136051362224,0.09450644061469604
ROI.23 [],0.012683590944444358,0.005582721451503386,0.029431755298954514
ROI.24 [],0.020737989566948018,0.008188424733699259,0.04530326376804579
ROI.26 [],0.005536773000415285,0.0030540434614161776,0.014698903384663817
ROI.27 [],0.0032186242626714955,0.0020488921789162166,0.009365300799420145
ROI.29 [],0.003535934601180649,0.0020642245466020266,0.009728608240986729
ROI.30 [],0.00445983118197253,0.0023689305380371695,0.011566622796084038
ROI.31 [],0.028585591551157235,0.01073811796582155,0.060799945448621884
