ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],1,0.0602529630166394,0.0
ROI.03 [],1,0.0718514394997438,0.0
ROI.04 [],2,0.0533891297240493,0.012068189517175403
ROI.06 [],1,0.0296916267931862,0.0
ROI.09 [],7,0.20391134930492924,0.02723104882119586
ROI.10 [],8,0.20809389754356528,0.03762766308233222
ROI.11 [],7,0.20599444340330178,0.03652588259771289
ROI.12 [],6,0.20479103461116374,0.03294121672967198
ROI.13 [],7,0.2153654461701971,0.03744399446808381
ROI.14 [],5,0.21371063441663463,0.027807118048518764
ROI.16 [],5,0.20823773494154377,0.03626278783148968
ROI.17 [],6,0.17635905109544223,0.02207588702786408
ROI.18 [],7,0.19734938307682653,0.02726206273322138
ROI.19 [],7,0.18258003664133343,0.020661619585558077
ROI.20 [],5,0.1921882723731427,0.025653677757559754
ROI.21 [],6,0.18720751592835475,0.033786117871359954
ROI.22 [],11,0.2903631478950372,0.022111605325955234
ROI.27 [],1,0.0220163837398263,0.0
ROI.31 [],8,0.28709473270190294,0.03697254995808056
ROI.A [],3,0.032344208297009465,0.003966740836931635
ROI.B [],2,0.01231815420347635,0.0017394526857857499
ROI.C [],2,0.0434620306109202,0.011936103852341997
ROI.D [],11,0.305149802151968,0.024954392051802266
ROI.E [],8,0.16216289128438796,0.023963220605456696
ROI.F [],8,0.31389482118471945,0.03317126882039048
