Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,4,1,6.5,2.0,1.0,ns
10s,20s,4,4,6.5,17.5,0.10806337293756858,ns
10s,2hz,4,6,6.5,3.8333333333333335,0.7406251780411812,ns
10s,2mw,4,1,6.5,6.0,1.0,ns
10s,5hz,4,3,6.5,11.333333333333334,0.47147432485129004,ns
10s,5s,4,5,6.5,4.4,1.0,ns
10s,Ctrl,4,2,6.5,3.0,1.0,ns
1mw,20s,1,4,2.0,17.5,1.0,ns
1mw,2hz,1,6,2.0,3.8333333333333335,1.0,ns
1mw,2mw,1,1,2.0,6.0,1.0,ns
1mw,5hz,1,3,2.0,11.333333333333334,1.0,ns
1mw,5s,1,5,2.0,4.4,1.0,ns
1mw,Ctrl,1,2,2.0,3.0,1.0,ns
20s,2hz,4,6,17.5,3.8333333333333335,0.013345792583692584,*
20s,2mw,4,1,17.5,6.0,1.0,ns
20s,5hz,4,3,17.5,11.333333333333334,0.3590120537864294,ns
20s,5s,4,5,17.5,4.4,0.018942894094158506,*
20s,Ctrl,4,2,17.5,3.0,0.09520470468773326,ns
2hz,2mw,6,1,3.8333333333333335,6.0,1.0,ns
2hz,5hz,6,3,3.8333333333333335,11.333333333333334,0.0508393080695017,ns
2hz,5s,6,5,3.8333333333333335,4.4,0.7797529984594956,ns
2hz,Ctrl,6,2,3.8333333333333335,3.0,1.0,ns
2mw,5hz,1,3,6.0,11.333333333333334,1.0,ns
2mw,5s,1,5,6.0,4.4,1.0,ns
2mw,Ctrl,1,2,6.0,3.0,1.0,ns
5hz,5s,3,5,11.333333333333334,4.4,0.07192408201305016,ns
5hz,Ctrl,3,2,11.333333333333334,3.0,0.1386406338132186,ns
5s,Ctrl,5,2,4.4,3.0,0.8436689495519663,ns
