ROI,mean0,sd0,thr
ROI.E [],0.04197222061732766,0.034499015241439286,0.2144672968245241
ROI.C [],0.021399659572098,0.012551495026777463,0.0841571347059853
ROI.A [],0.009112932952684524,0.00518813119448981,0.03505358892513358
ROI.F [],0.028883175205328307,0.019060530875622036,0.12418582958343849
ROI.B [],0.004028495259704677,0.0014119241046012044,0.0110881157827107
ROI.D [],0.037555923908434874,0.055049533450408854,0.3128035911604791
ROI.01 [],0.02320889929084367,0.018113517479437027,0.11377648668802881
ROI.02 [],0.018066440669383454,0.012516312413911006,0.08064800273893849
ROI.03 [],0.020703042539060128,0.01174521599305783,0.07942912250434928
ROI.04 [],0.02600253319981933,0.009711374115195818,0.07455940377579842
ROI.05 [],0.004265514452519745,0.004649872164133278,0.027514875273186138
ROI.06 [],0.008920858200606147,0.006932025532456345,0.043580985862887875
ROI.09 [],0.04097863565235867,0.03653307150233905,0.22364399316405395
ROI.10 [],0.05181607647403571,0.03621923864652286,0.23291226970665
ROI.11 [],0.05182836079452021,0.04416207386794493,0.27263873013424483
ROI.12 [],0.04248462335280065,0.03566999770519767,0.22083461187878903
ROI.13 [],0.052359537944960746,0.036499499548162166,0.2348570356857716
ROI.14 [],0.04245390725685851,0.031797304327518386,0.20144042889445044
ROI.16 [],0.05217641193433049,0.04383763684564371,0.27136459616254904
ROI.17 [],0.036951870967060416,0.03342622117254301,0.20408297682977544
ROI.18 [],0.04576811991258641,0.03987952858359029,0.24516576283053787
ROI.19 [],0.03803307029722012,0.03566524743985775,0.21635930749650886
ROI.20 [],0.03990495824784829,0.02872466350497567,0.18352827577272662
ROI.21 [],0.042584509898069535,0.020702544332643312,0.1460972315612861
ROI.22 [],0.0367205544968601,0.046467107577297065,0.2690560923833454
ROI.23 [],0.03125829688490713,0.014875471299520165,0.10563565338250797
ROI.24 [],0.02802007652186021,0.01872145779257397,0.12162736548473006
ROI.26 [],0.0035360025353163623,0.0031508458707722236,0.01929023188917748
ROI.27 [],0.008192829904413798,0.002573091513362397,0.021058287471225783
ROI.29 [],0.0049146099176525,0.002990212481290885,0.019865672324106926
ROI.30 [],0.0055859852255242416,0.0031370620588963348,0.021271295520005916
ROI.31 [],0.03393747992108196,0.022983250749113348,0.1488537336666487
