Time (s),ROI.E [],ROI.C [],ROI.A [],ROI.F [],ROI.B [],ROI.D [],ROI.000 [],ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.26 [],ROI.27 [],ROI.29 [],ROI.30 [],ROI.31 []
0.258,0.11233339955389324,0.024114200259557805,0.024772278141295838,0.09344225478847232,0.008726266357917463,0.18141524774865117,0.0,0.030878548424530187,0.035383307703711966,0.019175825137783722,0.019368993184612944,0.030327292246402168,0.03467236048241245,0.11592472777950268,0.14932111235924073,0.1347909962005007,0.1304719451940058,0.11876603896663257,0.10001188574507693,0.12132533458276265,0.0929593506243286,0.12976702318679123,0.12306434830294029,0.10112923051284298,0.14946939628655004,0.18210737959522938,0.04932336930135526,0.03745561736193772,0.01319252206294694,0.0067123703568731955,0.0063586958525376465,0.012788864898737012,0.08886748964634487
0.779,0.08601886406747927,0.02305081952031393,0.021015912205075402,0.008291501231138192,0.008061814775061588,0.1149080286759513,0.0,0.032171419949528705,0.01723275135985708,0.016097892646996216,0.01945650979649141,0.026084393982181948,0.033659854382470676,0.08672610578042264,0.13054581568029158,0.10571758383883179,0.10773198258298443,0.10432419755272836,0.07129716438267579,0.0989214755327711,0.0853077295409549,0.10551069500546545,0.09531320505747543,0.06874405296919466,0.10280178416729367,0.13232351904295536,0.09167293237775023,0.03039393220353088,0.013114965058748084,0.006756534074949703,0.011677435916247645,0.010730722718610655,0.014473547655116385
1.285,0.07684089812848421,0.01623677355466201,0.00930635293625283,0.014160948775115723,0.007200898954446941,0.09349186419789748,0.0,0.015324153567313726,0.02066575251639862,0.01286419805726388,0.019213525441781076,0.009891982245074595,0.012750583594364422,0.09362044998302056,0.10380619168151305,0.09721232050772463,0.08650400385708065,0.08912062053908777,0.08362644182884109,0.07684338575456995,0.07991352455984115,0.10092570256943771,0.09857718094322719,0.06518128418269752,0.09790684091382629,0.10019320055163647,0.0358496990068883,0.03957661085407309,0.010449787970746353,0.00598686904302662,0.011387988034721788,0.0064813293877297,0.019594346020723956
1.778,0.06401536386039028,0.006394455880876692,0.009324473518548319,-0.010178955723274338,0.005168001605801997,0.08062118387043042,0.0,0.01946965021752002,0.018115070034182484,0.01913799423727508,0.014342208028888019,0.01087939366212739,0.012206179488811687,0.0772795900328432,0.07221668667732654,0.08910978053752187,0.0922724624164959,0.09201083817332709,0.06588130081506402,0.062021860816801194,0.0737922847894781,0.06679413047910042,0.07017843147673464,0.06130806776173298,0.06880137223214465,0.07241932183769716,0.053355797743110105,0.020399446789916363,0.0059488142511982854,0.0020034511671319748,0.004852927710079386,0.014562295432727879,-0.005021315302606501
2.288,0.060879951696291484,0.006869754903882974,0.012626012005740065,-0.0273540149005842,0.005795020127889525,0.0755026999738221,0.0,0.016671156569129993,0.02650018418141653,0.022774698051537787,-0.0062381190255090474,0.020273750932943934,0.018607396657181117,0.07520450484954438,0.07680929962666541,0.05618124084274985,0.08322603268490171,0.10979492121156319,0.05009578970724556,0.05943164060807567,0.06799893951155446,0.06598257905000506,0.071095653134392,0.08638156618494407,0.07307768438870887,0.0785621259980743,0.0837331725781009,-0.00986286479387873,0.008362400526526419,0.007546233327019171,0.0024006875140051695,0.001694365538524268,-0.025810616095305706
2.778,0.051548821915895084,0.009907270012280683,0.01977989349242277,0.009294234610980869,0.003959673590903768,0.06427960299337028,0.0,0.027392289491816258,0.005220380148883456,0.004113728586649571,0.029837957798578667,0.02946775018330136,0.043890110993414694,0.04914631901282532,0.06699314920486125,0.08168992206044907,0.05856860079165521,0.06872785432098363,0.056164645287311396,0.05757618321399839,0.03147955555962881,0.06815130525952266,0.05555402268811546,0.05613856813221193,0.0807272368295196,0.054660312382422686,0.08786337747938082,0.005274119244795982,0.0068744738571143585,0.0034688607853017935,0.0028331938534264535,0.003672547333395341,0.0021954474406615603
3.279,0.03968028578241848,0.004272026079567903,0.009849286303077411,-0.05312476050014836,0.003615880592594092,0.08555750166354789,0.0,0.013155957406030008,0.011758779280764778,0.015699223429290424,0.005489053865228887,0.015663062598759433,0.02622524758942289,0.04981275683397629,0.058439955001839884,0.05445194905897991,0.05452298327729295,0.053231284226697304,0.056395687932499466,0.03509136179507593,0.03384883131765499,0.050190490859546286,0.04265185065670635,0.06650542921853243,0.046898610604274915,0.10241264906200387,0.028521389390031317,0.016814390671482295,0.0085136978533211,0.004289725098007227,0.005056898319118029,0.0031185535302315696,-0.05026479615926658
3.782,0.04537188882384137,-0.003077614078903908,0.007469069040630594,0.018908449400708162,0.0029187913712191956,0.07735828536662927,0.0,0.010560099745849694,0.027966753421636535,0.02381475960030836,0.008968915201232181,0.010998803435683947,0.0072569103732621175,0.0513981429003146,0.054681536783352316,0.055403138741065616,0.06865715785161675,0.047020046683219276,0.07485134753976154,0.04756702027163788,0.05909674537393176,0.0310780200305524,0.0630638798079671,0.06699992776420946,0.037307325867344115,0.06177149116007478,0.0010381524607849693,0.01731039253660475,0.002607473314530432,0.0034931461666033725,0.003284149161186997,0.006593800933475633,0.013378364991066788
4.286,0.05375851006799256,0.005393383685042995,0.010398687676050395,0.07354846438316748,0.004482127707396605,0.10372380575892519,0.0,0.028027687019365824,0.020437606574076277,0.01981842585589409,0.012359540885767127,0.01166945858167462,0.01260382047445687,0.05871737466166302,0.07969734192907028,0.05219057964754127,0.09616468101694281,0.05447384209391458,0.06421272916948154,0.06160232053864811,0.06796215139301232,0.031301096690977095,0.06097027291898849,0.07318695382959772,0.08056099520887103,0.10335588498093555,0.039274907371789236,0.011457145716976813,0.004647831990721235,0.0049321938258784954,0.003391404808916559,0.008717202341787434,0.08089943913169405
4.785,0.037955582761232176,0.004491050553097597,0.010793998638321518,0.018688146663034907,0.0037149011825069436,0.09118161814238168,0.0,0.01645414415655697,0.018748329517366536,0.01565201571780777,0.010614632614594496,0.017623054623417594,0.015930853614529453,0.06077151370245365,0.028248093383030165,0.06325243944178546,0.048793156049172684,0.04549142064214438,0.059052598211535974,0.03983160183569069,0.019561435682199882,0.043254754164833015,0.029888547218701333,0.04171466260845758,0.06640626180524073,0.1009561987154198,0.08112222492151704,-0.007712672408690523,0.007226522474440603,0.005537205960687145,0.006701412606853667,0.004995484255494139,0.04922896950891082
