ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.E [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.09 [],1,22.78800000000001,22.78800000000001,0.0,22.78800000000001,22.78800000000001
ROI.10 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.11 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.12 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.13 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.14 [],1,24.77799999999999,24.77799999999999,0.0,24.77799999999999,24.77799999999999
ROI.16 [],1,24.77799999999999,24.77799999999999,0.0,24.77799999999999,24.77799999999999
ROI.17 [],2,18.52799999999999,18.52799999999999,4.75,13.777999999999992,23.27799999999999
ROI.18 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.19 [],2,18.78649999999999,18.78649999999999,4.491500000000002,14.294999999999987,23.27799999999999
ROI.20 [],2,19.02799999999999,19.02799999999999,4.25,14.777999999999992,23.27799999999999
ROI.21 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
