ROI,mean0,sd0,thr
ROI.E [],0.016759338672637618,0.010384184127437242,0.06868025930982383
ROI.C [],0.008352565835954602,0.004894604039814929,0.03282558603502925
ROI.A [],0.00651887654009476,0.004689586982288764,0.02996681145153858
ROI.F [],0.10863023011718526,0.08792433122563348,0.5482518862453527
ROI.B [],0.001964931340861623,0.0015614544748272625,0.009772203714997936
ROI.D [],0.02982338109943882,0.03829720265513049,0.22130939437509126
ROI.01 [],0.009572794425618944,0.008897309988459055,0.05405934436791422
ROI.02 [],0.01062824453612932,0.006765711365530209,0.04445680136378037
ROI.03 [],0.011200402723971846,0.009676239396353942,0.059581599705741554
ROI.04 [],0.0070824126203672885,0.004968036692085312,0.03192259608079385
ROI.05 [],0.011498192568460828,0.008230972773759136,0.05265305643725651
ROI.06 [],0.016969484445407305,0.012136842204049442,0.07765369546565451
ROI.09 [],0.025623273705879683,0.014612952272445997,0.09868803506810966
ROI.10 [],0.026644691777996627,0.012184536673268236,0.08756737514433781
ROI.11 [],0.019492779917859554,0.01032898488291634,0.07113770433244125
ROI.12 [],0.0233681903029855,0.017794542989968753,0.11234090525282926
ROI.13 [],0.021904247650573593,0.01677111141250023,0.10575980471307475
ROI.14 [],0.017877737540512684,0.01721828604564739,0.10396916776874963
ROI.16 [],0.025524083969673195,0.018871459276880522,0.1198813803540758
ROI.17 [],0.03760007477298228,0.022649951889424605,0.1508498342201053
ROI.18 [],0.021832482578045678,0.011519502315070275,0.07942999415339705
ROI.19 [],0.022917606606053964,0.01794998237526458,0.11266751848237685
ROI.20 [],0.037036979638770305,0.020139610002619695,0.1377350296518688
ROI.21 [],0.027262309318678245,0.014578542399683305,0.10015502131709478
ROI.22 [],0.031196881777293586,0.03522007069319599,0.20729723524327354
ROI.23 [],0.04636239376887007,0.035711531134544575,0.22492004944159294
ROI.24 [],0.02042473022440574,0.016855100178996343,0.10470023111938745
ROI.26 [],0.00495814433918796,0.0032537207089422936,0.02122674788389943
ROI.27 [],0.004683960554840399,0.0028301635965106335,0.018834778537393567
ROI.29 [],0.003541939743060525,0.002714099454764045,0.01711243701688075
ROI.30 [],0.0039038038403375087,0.0030084359388430648,0.018945983534552832
ROI.31 [],0.11767660665010661,0.09327876208487554,0.5840704170744843
