ROI,Spike_Count,Mean_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],1,24.789,24.789,0.0,0.0
ROI.09 [],5,23.9834,22.78800000000001,11.766470894027659,5.262125754863714
ROI.10 [],6,26.945666666666664,28.776999999999997,12.53891887949941,5.118992196820692
ROI.11 [],5,25.181199999999997,24.27799999999999,13.440652093555586,6.01084234862303
ROI.12 [],4,22.6605,19.533,12.598347444539433,6.299173722269717
ROI.13 [],4,22.41,19.533,13.260703425283792,6.630351712641896
ROI.14 [],5,23.779400000000003,24.77799999999999,10.84324782064857,4.849247844769329
ROI.16 [],6,24.700666666666667,23.780999999999995,10.440004802042315,4.2621141128682964
ROI.17 [],8,24.219,22.780999999999995,10.304121491630703,3.643057090451056
ROI.18 [],6,24.528833333333335,23.280999999999995,10.429041517160947,4.2576383705576095
ROI.19 [],7,22.353999999999992,22.784,9.619658656452772,3.635889214614823
ROI.20 [],5,21.080399999999997,15.278999999999996,10.932210631889602,4.889033223450215
ROI.21 [],4,22.279999999999994,19.02749999999999,12.960055118195552,6.480027559097776
ROI.22 [],13,18.360846153846158,11.281999999999996,16.86965132936538,4.678799451325086
ROI.31 [],6,18.445833333333336,13.783000000000008,15.564466562226496,6.354166866010926
ROI.A [],1,25.277,25.277,0.0,0.0
ROI.B [],2,17.777500000000003,17.777500000000003,11.31300139220357,7.999499999999998
ROI.D [],13,24.705692307692306,28.777,19.36643076900773,5.371281473875452
ROI.E [],6,25.197666666666667,26.027499999999996,10.44808577044937,4.265413154405769
ROI.F [],6,18.61516666666667,14.277000000000008,15.47544706193222,6.317824807197841
