ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.09 [],1,5,24.789,23.9834,1.0,ns
ROI.01 [],ROI.10 [],1,6,24.789,26.945666666666664,1.0,ns
ROI.01 [],ROI.11 [],1,5,24.789,25.181199999999997,1.0,ns
ROI.01 [],ROI.12 [],1,4,24.789,22.6605,1.0,ns
ROI.01 [],ROI.13 [],1,4,24.789,22.41,1.0,ns
ROI.01 [],ROI.14 [],1,5,24.789,23.779400000000003,1.0,ns
ROI.01 [],ROI.16 [],1,6,24.789,24.700666666666667,1.0,ns
ROI.01 [],ROI.17 [],1,8,24.789,24.219,1.0,ns
ROI.01 [],ROI.18 [],1,6,24.789,24.528833333333335,1.0,ns
ROI.01 [],ROI.19 [],1,7,24.789,22.353999999999992,1.0,ns
ROI.01 [],ROI.20 [],1,5,24.789,21.080399999999997,1.0,ns
ROI.01 [],ROI.21 [],1,4,24.789,22.279999999999994,1.0,ns
ROI.01 [],ROI.22 [],1,13,24.789,18.360846153846158,1.0,ns
ROI.01 [],ROI.31 [],1,6,24.789,18.445833333333336,1.0,ns
ROI.01 [],ROI.A [],1,1,24.789,25.277,1.0,ns
ROI.01 [],ROI.B [],1,2,24.789,17.777500000000003,1.0,ns
ROI.01 [],ROI.D [],1,13,24.789,24.705692307692306,1.0,ns
ROI.01 [],ROI.E [],1,6,24.789,25.197666666666667,1.0,ns
ROI.01 [],ROI.F [],1,6,24.789,18.61516666666667,1.0,ns
ROI.09 [],ROI.10 [],5,6,23.9834,26.945666666666664,0.5830249115137662,ns
ROI.09 [],ROI.11 [],5,5,23.9834,25.181199999999997,1.0,ns
ROI.09 [],ROI.12 [],5,4,23.9834,22.6605,0.9047619047619049,ns
ROI.09 [],ROI.13 [],5,4,23.9834,22.41,1.0,ns
ROI.09 [],ROI.14 [],5,5,23.9834,23.779400000000003,0.8412698412698413,ns
ROI.09 [],ROI.16 [],5,6,23.9834,24.700666666666667,0.7922077922077921,ns
ROI.09 [],ROI.17 [],5,8,23.9834,24.219,0.8329448329448329,ns
ROI.09 [],ROI.18 [],5,6,23.9834,24.528833333333335,0.7922077922077921,ns
ROI.09 [],ROI.19 [],5,7,23.9834,22.353999999999992,1.0,ns
ROI.09 [],ROI.20 [],5,5,23.9834,21.080399999999997,1.0,ns
ROI.09 [],ROI.21 [],5,4,23.9834,22.279999999999994,1.0,ns
ROI.09 [],ROI.22 [],5,13,23.9834,18.360846153846158,0.28874883286647995,ns
ROI.09 [],ROI.31 [],5,6,23.9834,18.445833333333336,0.6623376623376623,ns
ROI.09 [],ROI.A [],5,1,23.9834,25.277,1.0,ns
ROI.09 [],ROI.B [],5,2,23.9834,17.777500000000003,0.5714285714285714,ns
ROI.09 [],ROI.D [],5,13,23.9834,24.705692307692306,0.8489729225023341,ns
ROI.09 [],ROI.E [],5,6,23.9834,25.197666666666667,0.7922077922077921,ns
ROI.09 [],ROI.F [],5,6,23.9834,18.61516666666667,0.6623376623376623,ns
ROI.10 [],ROI.11 [],6,5,26.945666666666664,25.181199999999997,0.6465757187356533,ns
ROI.10 [],ROI.12 [],6,4,26.945666666666664,22.6605,0.9145887822612924,ns
ROI.10 [],ROI.13 [],6,4,26.945666666666664,22.41,0.83066424240396,ns
ROI.10 [],ROI.14 [],6,5,26.945666666666664,23.779400000000003,0.7922077922077921,ns
