Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,1,1,0.11662532260956414,0.27987718882335877,1.0,ns
10s,20s,1,4,0.11662532260956414,0.2669559266315008,1.0,ns
10s,2hz,1,3,0.11662532260956414,0.363509133496684,1.0,ns
10s,2mw,1,1,0.11662532260956414,0.03604283479051357,1.0,ns
10s,5hz,1,3,0.11662532260956414,0.3185459700109285,1.0,ns
10s,5s,1,2,0.11662532260956414,0.29129911512822504,1.0,ns
10s,Far Light Control,1,1,0.11662532260956414,0.4080593584169146,1.0,ns
1mw,20s,1,4,0.27987718882335877,0.2669559266315008,1.0,ns
1mw,2hz,1,3,0.27987718882335877,0.363509133496684,1.0,ns
1mw,2mw,1,1,0.27987718882335877,0.03604283479051357,1.0,ns
1mw,5hz,1,3,0.27987718882335877,0.3185459700109285,1.0,ns
1mw,5s,1,2,0.27987718882335877,0.29129911512822504,1.0,ns
1mw,Far Light Control,1,1,0.27987718882335877,0.4080593584169146,1.0,ns
20s,2hz,4,3,0.2669559266315008,0.363509133496684,0.22857142857142856,ns
20s,2mw,4,1,0.2669559266315008,0.03604283479051357,1.0,ns
20s,5hz,4,3,0.2669559266315008,0.3185459700109285,0.6285714285714286,ns
20s,5s,4,2,0.2669559266315008,0.29129911512822504,0.5333333333333333,ns
20s,Far Light Control,4,1,0.2669559266315008,0.4080593584169146,1.0,ns
2hz,2mw,3,1,0.363509133496684,0.03604283479051357,1.0,ns
2hz,5hz,3,3,0.363509133496684,0.3185459700109285,0.4,ns
2hz,5s,3,2,0.363509133496684,0.29129911512822504,0.4,ns
2hz,Far Light Control,3,1,0.363509133496684,0.4080593584169146,1.0,ns
2mw,5hz,1,3,0.03604283479051357,0.3185459700109285,1.0,ns
2mw,5s,1,2,0.03604283479051357,0.29129911512822504,1.0,ns
2mw,Far Light Control,1,1,0.03604283479051357,0.4080593584169146,1.0,ns
5hz,5s,3,2,0.3185459700109285,0.29129911512822504,0.8,ns
5hz,Far Light Control,3,1,0.3185459700109285,0.4080593584169146,1.0,ns
5s,Far Light Control,2,1,0.29129911512822504,0.4080593584169146,1.0,ns
