Condition,ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s
10s2,ROI.14 [],1,27.777,27.777,
10s2,ROI.17 [],1,33.277,33.277,
10s2,ROI.E [],1,27.777,27.777,
10s2,[10s2 TOTAL],3,29.610333333333333,27.777,3.1754264805429417
1mw3,ROI.31 [],1,14.288000000000013,14.288000000000013,
1mw3,ROI.F [],1,15.27600000000001,15.27600000000001,
1mw3,[1mw3 TOTAL],2,14.78200000000001,14.78200000000001,0.6986214998123074
20s1,ROI.22 [],3,8.613999999999997,8.287000000000006,4.0095133121115785
20s1,ROI.B [],1,9.778000000000006,9.778000000000006,
20s1,ROI.D [],2,8.777499999999993,8.777499999999993,5.656147142711187
20s1,[20s1 TOTAL],6,8.862499999999997,9.032500000000006,3.6106022073886748
20s3,ROI.09 [],1,14.276999999999989,14.276999999999989,
20s3,ROI.10 [],1,14.276999999999989,14.276999999999989,
20s3,ROI.11 [],1,13.776999999999989,13.776999999999989,
20s3,ROI.12 [],1,14.788000000000013,14.788000000000013,
20s3,ROI.13 [],1,14.788000000000013,14.788000000000013,
20s3,ROI.14 [],1,14.788000000000013,14.788000000000013,
20s3,ROI.16 [],2,18.786000000000005,18.786000000000005,5.6540258223676245
20s3,ROI.17 [],2,18.536000000000005,18.536000000000005,5.300472431774351
20s3,ROI.18 [],2,18.781499999999998,18.781499999999998,4.9532830022117675
20s3,ROI.19 [],2,19.280499999999993,19.280499999999993,4.954697215774146
20s3,ROI.20 [],1,15.278999999999996,15.278999999999996,
20s3,ROI.21 [],1,13.776999999999989,13.776999999999989,
20s3,ROI.E [],1,14.788000000000013,14.788000000000013,
20s3,[20s3 TOTAL],17,16.547470588235292,14.788000000000013,3.460954585039491
20s4,ROI.09 [],2,22.031,22.031,15.208452649760263
20s4,ROI.10 [],2,22.026500000000002,22.026500000000002,15.909195469916135
20s4,ROI.11 [],1,10.296999999999995,10.296999999999995,
20s4,ROI.12 [],1,11.787999999999997,11.787999999999997,
20s4,ROI.13 [],1,10.296999999999995,10.296999999999995,
20s4,ROI.14 [],1,12.277,12.277,
20s4,ROI.16 [],2,23.033,23.033,14.485789519387616
20s4,ROI.17 [],2,23.535,23.535,15.195724727698908
20s4,ROI.18 [],2,23.027500000000003,23.027500000000003,15.203502902291962
20s4,ROI.19 [],1,11.787999999999997,11.787999999999997,
20s4,ROI.20 [],1,12.79,12.79,
20s4,ROI.21 [],1,11.277,11.277,
20s4,ROI.E [],2,22.277500000000003,22.277500000000003,14.142842730512143
20s4,[20s4 TOTAL],19,18.54605263157895,12.277,10.316109917522661
20s6,ROI.09 [],1,38.790000000000006,38.790000000000006,
20s6,ROI.10 [],1,39.788,39.788,
20s6,ROI.11 [],1,38.276,38.276,
20s6,ROI.12 [],1,39.788,39.788,
20s6,ROI.13 [],1,40.277,40.277,
20s6,ROI.14 [],1,39.277,39.277,
20s6,ROI.16 [],1,39.788,39.788,
20s6,ROI.17 [],1,39.277,39.277,
20s6,ROI.18 [],1,39.277,39.277,
20s6,ROI.19 [],1,39.277,39.277,
20s6,ROI.20 [],1,39.277,39.277,
20s6,ROI.21 [],1,39.788,39.788,
20s6,ROI.E [],1,39.788,39.788,
20s6,[20s6 TOTAL],13,39.43599999999999,39.277,0.5176969834436592
2hz1,ROI.19 [],1,29.279,29.279,
2hz1,ROI.31 [],2,37.2775,37.2775,5.65756135627357
2hz1,ROI.F [],2,37.2915,37.2915,4.954697215774142
2hz1,[2hz1 TOTAL],5,35.68339999999999,33.788,5.192004555082749
2hz2,ROI.31 [],1,0.7780000000000058,0.7780000000000058,
2hz2,ROI.F [],1,0.7780000000000058,0.7780000000000058,
2hz2,[2hz2 TOTAL],2,0.7780000000000058,0.7780000000000058,0.0
2hz5,ROI.22 [],2,39.286500000000004,39.286500000000004,12.715901246077687
2hz5,ROI.D [],2,39.286500000000004,39.286500000000004,12.715901246077687
2hz5,[2hz5 TOTAL],4,39.286500000000004,39.286500000000004,10.382489890837043
2mw2,ROI.01 [],1,24.789,24.789,
2mw2,ROI.A [],1,25.277,25.277,
2mw2,ROI.B [],1,25.777,25.777,
2mw2,[2mw2 TOTAL],3,25.281000000000002,25.277,0.4940121455996803
5hz1,ROI.31 [],2,10.527000000000001,10.527000000000001,3.890501510088391
5hz1,ROI.F [],2,10.527000000000001,10.527000000000001,3.890501510088391
5hz1,[5hz1 TOTAL],4,10.527000000000001,10.527000000000001,3.1765811810813265
5hz2,ROI.09 [],1,22.78800000000001,22.78800000000001,
5hz2,ROI.10 [],1,24.27799999999999,24.27799999999999,
5hz2,ROI.11 [],1,24.27799999999999,24.27799999999999,
5hz2,ROI.12 [],1,24.27799999999999,24.27799999999999,
5hz2,ROI.13 [],1,24.27799999999999,24.27799999999999,
5hz2,ROI.14 [],1,24.77799999999999,24.77799999999999,
5hz2,ROI.16 [],1,24.77799999999999,24.77799999999999,
5hz2,ROI.17 [],2,18.52799999999999,18.52799999999999,6.7175144212722016
5hz2,ROI.18 [],1,24.27799999999999,24.27799999999999,
5hz2,ROI.19 [],2,18.78649999999999,18.78649999999999,6.351940215398759
5hz2,ROI.20 [],2,19.02799999999999,19.02799999999999,6.010407640085654
5hz2,ROI.21 [],1,24.27799999999999,24.27799999999999,
5hz2,ROI.E [],1,24.27799999999999,24.27799999999999,
5hz2,[5hz2 TOTAL],16,22.185937499999994,24.27799999999999,3.9652892365080596
5hz3,ROI.10 [],1,39.278000000000006,39.278000000000006,
5hz3,ROI.11 [],1,39.278000000000006,39.278000000000006,
5hz3,ROI.22 [],1,28.291,28.291,
5hz3,ROI.D [],1,28.777,28.777,
5hz3,[5hz3 TOTAL],4,33.906000000000006,34.0275,6.206223596788418
5s1,ROI.22 [],2,24.034,24.034,33.58191525211152
5s1,ROI.D [],3,35.78433333333333,47.78,31.274326792647884
5s1,[5s1 TOTAL],5,31.0842,47.78,28.50261595362784
5s2,ROI.22 [],4,6.6572499999999994,6.280000000000001,4.2691057123633405
5s2,ROI.D [],4,14.406999999999998,10.281999999999996,13.734051963398619
5s2,[5s2 TOTAL],8,10.532124999999999,9.281999999999996,10.286368169815816
Ctrl2,ROI.22 [],1,31.288,31.288,
Ctrl2,ROI.D [],1,31.288,31.288,
Ctrl2,[Ctrl2 TOTAL],2,31.288,31.288,0.0
ALL,OVERALL,113,22.706575221238936,22.78800000000001,12.934292352395538
