ROI,mean0,sd0,thr
ROI.E [],0.01457321351717549,0.01167505166679814,0.049598368517569914
ROI.C [],0.007486155235797611,0.005931873048674883,0.02528177438182226
ROI.A [],0.004447588033480797,0.0036788752887504266,0.015484213899732077
ROI.F [],0.04361050964587728,0.038987851957072744,0.16057406551709552
ROI.B [],0.0017813326362740572,0.0020865071601027596,0.008040854116582336
ROI.D [],0.04519254419003687,0.032083740622938596,0.14144376605885267
ROI.01 [],0.009903662356331768,0.008758175381259333,0.036178188500109766
ROI.02 [],0.006331527778898641,0.007862368324841865,0.029918632753424237
ROI.03 [],0.011380792113907827,0.012363027026524193,0.04846987319348041
ROI.04 [],0.008328201130722194,0.006444652610501463,0.027662158962226582
ROI.05 [],0.007960495328644573,0.006724459552447813,0.02813387398598801
ROI.06 [],0.014357573669023486,0.01046338913086914,0.04574774106163091
ROI.09 [],0.020740083905233384,0.018726971855106876,0.07692099947055402
ROI.10 [],0.034095349793388144,0.01624419366428062,0.08282793078623
ROI.11 [],0.0319791046279607,0.01131405686381828,0.06592127521941554
ROI.12 [],0.02470589473102309,0.026746091143278104,0.10494416816085739
ROI.13 [],0.02457591036404042,0.012031256693622283,0.06066968044490727
ROI.14 [],0.02367022937129562,0.018694148635605836,0.07975267527811312
ROI.16 [],0.013142881550670721,0.012109920398559192,0.04947264274634829
ROI.17 [],0.025158422614419945,0.01863809732534917,0.08107271459046746
ROI.18 [],0.02239477466450926,0.009954443589793596,0.05225810543389005
ROI.19 [],0.019259981446067997,0.014405125627110854,0.06247535832740056
ROI.20 [],0.01641509739710863,0.022175609029759277,0.08294192448638646
ROI.21 [],0.025266869588474898,0.021985336605333645,0.09122287940447585
ROI.22 [],0.02766153306478452,0.02669290907832873,0.10774026029977071
ROI.23 [],0.04697594439410616,0.03785560522561065,0.1605427600709381
ROI.24 [],0.018112831250764815,0.01537699018363131,0.06424380180165874
ROI.26 [],0.0026804209608304913,0.0027358875262942202,0.010888083539713152
ROI.27 [],0.003049736971318947,0.0030853098168819406,0.012305666421964769
ROI.29 [],0.003363335635580168,0.003915389864065374,0.015109505227776291
ROI.30 [],0.0029574019346180736,0.0030150289924929666,0.012002488912096975
ROI.31 [],0.046538050698702926,0.04753716040104992,0.18914953190185269
