ROI,mean0,sd0,thr
ROI.E [],0.03407161861710771,0.01451113746558931,0.07760503101387564
ROI.C [],0.01165985878527105,0.0049695518679899724,0.026568514389240967
ROI.A [],0.006697081739039515,0.002667481576906848,0.014699526469760058
ROI.F [],0.04160071329917928,0.03163763090847666,0.13651360602460927
ROI.B [],0.0024710559042211925,0.0013727016713694327,0.006589160918329491
ROI.D [],0.036191374903156465,0.03362197144573582,0.13705728924036392
ROI.01 [],0.014724679429389612,0.010704868469731135,0.04683928483858302
ROI.02 [],0.00799086960139185,0.0054288462385532876,0.02427740831705171
ROI.03 [],0.009354169764990075,0.0060918886579535226,0.027629835738850646
ROI.04 [],0.011028959618478773,0.006496537221440596,0.030518571282800562
ROI.05 [],0.006646954303504223,0.003742479488622053,0.017874392769370383
ROI.06 [],0.01320442187002781,0.007830509586995478,0.03669595063101424
ROI.09 [],0.04681227238248696,0.01949155302430119,0.10528693145539053
ROI.10 [],0.04270197501376231,0.018771443762659292,0.09901630630174019
ROI.11 [],0.05783293074621455,0.019550435884124202,0.11648423839858715
ROI.12 [],0.04810290072732156,0.021240788715096277,0.11182526687261041
ROI.13 [],0.057648109437119475,0.017055733957337435,0.10881531130913177
ROI.14 [],0.04910981196454393,0.017117166347723718,0.10046131100771508
ROI.16 [],0.03178006323458926,0.01785252960187518,0.0853376520402148
ROI.17 [],0.029160902474746737,0.01564631775228712,0.0760998557316081
ROI.18 [],0.0369048405408552,0.015886367288282056,0.08456394240570136
ROI.19 [],0.03163404824690697,0.016001915039377375,0.0796397933650391
ROI.20 [],0.0291776728640857,0.014017344572785138,0.07122970658244111
ROI.21 [],0.048955289791520605,0.02652212438816826,0.12852166295602538
ROI.22 [],0.042453803242905874,0.03519387328602592,0.14803542310098364
ROI.23 [],0.033451101367120234,0.017551988451704994,0.08610706672223521
ROI.24 [],0.01830305342461582,0.01229083133477376,0.0551755474289371
ROI.26 [],0.004070862072076175,0.002258301365917873,0.010845766169829794
ROI.27 [],0.0034896371879331945,0.002169964969144917,0.009999532095367945
ROI.29 [],0.0029752134328772345,0.0025096349385072417,0.01050411824839896
ROI.30 [],0.004141505657565036,0.0029008701364948053,0.012844116067049452
ROI.31 [],0.05257503755642805,0.036907602576556335,0.16329784528609703
