ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.E [],2,30.028000000000006,30.028000000000006,9.25,20.778000000000006,39.278000000000006
ROI.D [],1,28.777,28.777,0.0,28.777,28.777
ROI.09 [],1,39.278000000000006,39.278000000000006,0.0,39.278000000000006,39.278000000000006
ROI.10 [],2,30.028000000000006,30.028000000000006,9.25,20.778000000000006,39.278000000000006
ROI.11 [],3,24.944666666666674,20.778000000000006,10.4269948797447,14.778000000000006,39.278000000000006
ROI.12 [],1,39.778999999999996,39.778999999999996,0.0,39.778999999999996,39.778999999999996
ROI.13 [],2,29.528000000000006,29.528000000000006,9.75,19.778000000000006,39.278000000000006
ROI.14 [],1,39.778999999999996,39.778999999999996,0.0,39.778999999999996,39.778999999999996
ROI.18 [],2,29.528000000000006,29.528000000000006,9.75,19.778000000000006,39.278000000000006
ROI.21 [],2,29.0285,29.0285,10.249500000000005,18.778999999999996,39.278000000000006
ROI.22 [],1,28.290999999999997,28.290999999999997,0.0,28.290999999999997,28.290999999999997
