condition,condition_group,ROI,spike_time_s,amplitude
10s1,10s,ROI.F [],95.776,0.1586833610411007
10s1,10s,ROI.31 [],95.776,0.1675864767374577
10s1,10s,ROI.31 [],150.287,0.1579914751893181
10s2,10s,ROI.E [],97.777,0.0990572484458381
10s2,10s,ROI.F [],56.276,0.2506457307099185
10s2,10s,ROI.09 [],97.777,0.1029657330022254
10s2,10s,ROI.10 [],97.777,0.1328810694740376
10s2,10s,ROI.11 [],98.284,0.1024874032983498
10s2,10s,ROI.12 [],97.777,0.1288625740638656
10s2,10s,ROI.13 [],98.284,0.1373225800642042
10s2,10s,ROI.14 [],97.777,0.1367799842561059
10s2,10s,ROI.16 [],98.284,0.109462092420355
10s2,10s,ROI.17 [],103.277,0.1140387351267484
10s2,10s,ROI.18 [],97.777,0.1331003836053621
10s2,10s,ROI.19 [],101.285,0.0987923010673001
10s2,10s,ROI.20 [],103.277,0.107466983977477
10s2,10s,ROI.21 [],100.782,0.1002065946696925
10s4,10s,ROI.11 [],115.279,0.0977376962820178
10s4,10s,ROI.13 [],118.278,0.0982939919341149
10s5,10s,ROI.24 [],142.777,0.0258066604487806
10s5,10s,ROI.31 [],64.276,0.1717532370649415
10s5,10s,ROI.31 [],111.278,0.1921900787160142
10s6,10s,ROI.E [],45.283,0.1117266669970871
10s6,10s,ROI.E [],51.786,0.1117668578694154
10s6,10s,ROI.10 [],45.787,0.140307386837002
10s6,10s,ROI.10 [],51.786,0.1311121558437637
10s6,10s,ROI.11 [],51.786,0.1309874228230894
10s6,10s,ROI.11 [],89.778,0.1111670578414776
10s6,10s,ROI.12 [],52.278,0.1281288172034086
10s6,10s,ROI.17 [],51.277,0.1291926650895977
10s6,10s,ROI.18 [],51.277,0.1316681012830326
10s6,10s,ROI.19 [],51.786,0.1243752513937416
1mw3,1mw,ROI.F [],145.276,0.2547148646364286
1mw3,1mw,ROI.31 [],144.288,0.3050395130102889
20s1,20s,ROI.A [],86.289,0.0304792173277254
20s1,20s,ROI.B [],92.278,0.0140576068892621
20s1,20s,ROI.D [],34.778,0.4617924391111194
20s1,20s,ROI.D [],60.292,0.3321965405039636
20s1,20s,ROI.D [],88.287,0.3639066260945445
20s1,20s,ROI.D [],142.777,0.545137031789368
20s1,20s,ROI.03 [],92.777,0.0718514394997438
20s1,20s,ROI.22 [],34.778,0.4689712133163702
20s1,20s,ROI.22 [],49.277,0.2609564495178553
20s1,20s,ROI.22 [],60.292,0.324119476346353
20s1,20s,ROI.22 [],88.287,0.3633937872533908
20s1,20s,ROI.22 [],142.777,0.5174466936762774
20s1,20s,ROI.27 [],85.777,0.0220163837398263
20s2,20s,ROI.02 [],173.286,0.0432326501728778
20s3,20s,ROI.E [],52.784,0.0822383024169076
20s3,20s,ROI.E [],144.788,0.2623806226205323
20s3,20s,ROI.B [],152.787,0.0057578614418433
20s3,20s,ROI.D [],40.787,0.3134610980235234
20s3,20s,ROI.D [],64.776,0.2940002660346563
20s3,20s,ROI.09 [],52.784,0.0995436207209439
20s3,20s,ROI.09 [],144.277,0.2683521562614434
20s3,20s,ROI.10 [],144.277,0.3123716744352707
20s3,20s,ROI.11 [],51.78,0.1022537917507533
20s3,20s,ROI.11 [],143.777,0.2707472004395154
20s3,20s,ROI.12 [],144.788,0.2331957586193875
20s3,20s,ROI.13 [],144.788,0.2566294657070041
20s3,20s,ROI.14 [],144.788,0.2144639980517949
20s3,20s,ROI.16 [],52.784,0.1072301222200783
20s3,20s,ROI.16 [],144.788,0.3810706259171327
20s3,20s,ROI.16 [],170.288,0.061365140097536
20s3,20s,ROI.17 [],52.284,0.0935266450303853
20s3,20s,ROI.17 [],144.788,0.263756228995913
20s3,20s,ROI.17 [],167.777,0.0486418414469964
20s3,20s,ROI.18 [],52.284,0.1016224392597735
20s3,20s,ROI.18 [],145.279,0.3348362832133186
20s3,20s,ROI.19 [],52.784,0.0955427755980458
20s3,20s,ROI.19 [],145.777,0.2609855924584109
20s3,20s,ROI.20 [],145.279,0.19838727181149
20s3,20s,ROI.21 [],143.777,0.1901158384677045
20s3,20s,ROI.22 [],41.276,0.3433213247332842
20s3,20s,ROI.22 [],64.776,0.2969823615498039
20s4,20s,ROI.E [],42.277,0.2100116662068553
20s4,20s,ROI.E [],112.278,0.126902502615195
20s4,20s,ROI.09 [],41.277,0.2096104826983754
20s4,20s,ROI.09 [],112.785,0.1557177671303312
20s4,20s,ROI.10 [],40.777,0.2803017500612584
20s4,20s,ROI.10 [],113.276,0.1657283055380787
20s4,20s,ROI.11 [],40.297,0.2291885147964594
20s4,20s,ROI.11 [],111.277,0.1582974684019565
20s4,20s,ROI.12 [],41.788,0.1875428757483094
20s4,20s,ROI.12 [],112.278,0.1594394279980198
20s4,20s,ROI.13 [],40.297,0.2184565400997411
20s4,20s,ROI.14 [],42.277,0.1821726819866333
20s4,20s,ROI.16 [],42.79,0.263758313552655
20s4,20s,ROI.16 [],113.276,0.1620113554356477
