Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,1.1684685154493093,0.18548031783302574,6.299690064695681,2.98241390412974e-10,***
C(condition_group)[T.1mw],-0.5408078090615326,0.7022884416634179,-0.7700650857653197,0.44126128545951804,ns
C(condition_group)[T.20s],0.4779088979643493,0.21808429740816893,2.191395270746568,0.028423201047585382,*
C(condition_group)[T.2hz],0.2068718156180217,0.33024732388574063,0.6264148129466613,0.5310428960612051,ns
C(condition_group)[T.2mw],-0.1957454979957133,0.37388961410715277,-0.5235382064921834,0.6005997705265878,ns
C(condition_group)[T.5hz],0.3731761436692411,0.24515592638097602,1.5221991537309187,0.12795918712263318,ns
C(condition_group)[T.5s],0.9085360139312536,0.3362909180428591,2.7016370802361775,0.006899903104213537,**
C(condition_group)[T.Ctrl],-0.3743230777058278,0.5715555833450672,-0.654919816398393,0.5125193808857734,ns
C(condition_group)[T.Far Light Control],-0.5269740555156281,0.5905592237020195,-0.8923305815328781,0.3722157672148336,ns
ROI (random effect var),0.08327410599878632,,,,
