Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,13,0.6263736263736264,0.02198860240988966,*
10s,2hz,5,0.7999999999999999,0.10408803866182788,ns
10s,5hz,15,0.532142857142857,0.041158580386934415,*
10s,5s,3,0.5,0.6666666666666667,ns
20s,2hz,5,0.8999999999999998,0.03738607346849874,*
20s,2mw,5,0.9999999999999999,1.4042654220543672e-24,***
20s,5hz,15,0.5678571428571427,0.02722835670886186,*
20s,5s,5,0.8999999999999998,0.03738607346849874,*
2hz,5hz,7,0.9642857142857145,0.0004541491691941689,***
2hz,5s,4,0.7999999999999999,0.20000000000000007,ns
2hz,Far Light Control,3,-0.5,0.6666666666666667,ns
2mw,5s,4,0.7999999999999999,0.20000000000000007,ns
5hz,5s,5,0.7999999999999999,0.10408803866182788,ns
5hz,Far Light Control,3,-0.5,0.6666666666666667,ns
5s,Far Light Control,3,-1.0,0.0,***
