ROI,n_spikes,spike_times_s
ROI.D [],9,29.778;40.787;64.776;73.283;82.777;86.777;139.791;164.277;172.278
ROI.17 [],8,27.277;32.284;49.779;54.279;144.788;167.777;186.778;191.776
ROI.18 [],7,47.777;52.284;116.790;145.279;167.277;174.778;191.776
ROI.E [],6,47.777;52.784;109.280;144.788;166.777;196.288
ROI.10 [],6,44.787;52.284;107.277;144.277;161.776;166.777
ROI.19 [],5,47.777;52.784;145.777;170.288;195.777
ROI.22 [],5,41.276;64.776;81.781;143.777;172.278
ROI.26 [],4,73.785;97.777;144.277;167.277
ROI.20 [],3,52.284;145.279;180.781
ROI.31 [],3,18.277;141.777;163.787
ROI.16 [],3,52.784;144.788;170.288
ROI.09 [],2,52.784;144.277
ROI.14 [],2,51.281;144.788
ROI.12 [],2,51.780;144.788
ROI.11 [],2,51.780;143.777
ROI.F [],1,145.777
ROI.B [],1,152.787
ROI.13 [],1,144.788
ROI.21 [],1,143.777
ROI.23 [],1,70.284
