ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.C [],1,23.778999999999996,23.778999999999996,0.0,23.778999999999996,23.778999999999996
ROI.A [],1,25.277,25.277,0.0,25.277,25.277
ROI.B [],1,25.777,25.777,0.0,25.777,25.777
ROI.D [],1,46.787000000000006,46.787000000000006,0.0,46.787000000000006,46.787000000000006
ROI.01 [],1,24.789,24.789,0.0,24.789,24.789
ROI.03 [],1,25.777,25.777,0.0,25.777,25.777
ROI.04 [],2,22.527500000000003,22.527500000000003,2.7494999999999976,19.778000000000006,25.277
ROI.05 [],2,47.2865,47.2865,22.009499999999996,25.277,69.29599999999999
ROI.06 [],2,21.780500000000004,21.780500000000004,3.4964999999999975,18.284000000000006,25.277
ROI.19 [],1,37.284000000000006,37.284000000000006,0.0,37.284000000000006,37.284000000000006
ROI.22 [],4,30.7825,31.282999999999994,12.55165450249488,13.777000000000001,46.787000000000006
ROI.26 [],1,22.777,22.777,0.0,22.777,22.777
ROI.27 [],1,26.78,26.78,0.0,26.78,26.78
