ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.E [],144.295,14.294999999999987,130,150
ROI.E [],154.278,24.27799999999999,130,150
ROI.F [],68.778,38.778000000000006,30,50
ROI.F [],120.278,40.278000000000006,80,100
ROI.F [],148.288,18.28800000000001,130,150
ROI.F [],167.779,37.778999999999996,130,150
ROI.F [],198.287,68.287,130,150
ROI.09 [],144.295,14.294999999999987,130,150
ROI.09 [],152.788,22.78800000000001,130,150
ROI.10 [],144.778,14.777999999999992,130,150
ROI.10 [],154.278,24.27799999999999,130,150
ROI.11 [],142.777,12.776999999999987,130,150
ROI.11 [],154.278,24.27799999999999,130,150
ROI.12 [],144.295,14.294999999999987,130,150
ROI.12 [],154.278,24.27799999999999,130,150
ROI.13 [],142.777,12.776999999999987,130,150
ROI.13 [],154.278,24.27799999999999,130,150
ROI.14 [],142.777,12.776999999999987,130,150
ROI.14 [],152.278,22.27799999999999,130,150
ROI.16 [],144.778,14.777999999999992,130,150
ROI.16 [],154.778,24.77799999999999,130,150
ROI.17 [],143.778,13.777999999999992,130,150
ROI.17 [],153.278,23.27799999999999,130,150
ROI.18 [],33.788,3.7879999999999967,30,50
ROI.18 [],142.777,12.776999999999987,130,150
ROI.18 [],154.278,24.27799999999999,130,150
ROI.19 [],144.295,14.294999999999987,130,150
ROI.19 [],153.278,23.27799999999999,130,150
ROI.20 [],147.778,17.77799999999999,130,150
ROI.20 [],153.278,23.27799999999999,130,150
ROI.21 [],144.778,14.777999999999992,130,150
ROI.21 [],154.278,24.27799999999999,130,150
ROI.31 [],167.779,37.778999999999996,130,150
ROI.31 [],197.777,67.77699999999999,130,150
