ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.E [],76.778,11.778000000000006,65,70
ROI.E [],100.277,0.277000000000001,100,105
ROI.D [],62.277,32.277,30,35
ROI.10 [],79.778,14.778000000000006,65,70
ROI.11 [],78.278,13.278000000000006,65,70
ROI.11 [],82.778,17.778000000000006,65,70
ROI.11 [],102.278,2.278000000000006,100,105
ROI.13 [],75.777,10.777000000000001,65,70
ROI.13 [],96.279,31.278999999999996,65,70
ROI.18 [],31.776,1.7759999999999998,30,35
ROI.18 [],40.778,10.777999999999999,30,35
ROI.18 [],81.777,16.777,65,70
ROI.18 [],98.278,33.278000000000006,65,70
ROI.21 [],38.787,8.786999999999999,30,35
ROI.21 [],46.284,16.284,30,35
ROI.21 [],69.778,4.778000000000006,65,70
ROI.21 [],81.777,16.777,65,70
ROI.21 [],100.277,0.277000000000001,100,105
ROI.21 [],127.784,27.784000000000006,100,105
ROI.22 [],62.277,32.277,30,35
