ROI,n_spikes,spike_times_s
ROI.30 [],12,18.777;69.776;74.778;97.277;113.277;125.778;132.777;146.779;152.277;162.277;171.789;179.777
ROI.04 [],11,18.777;55.778;65.777;85.277;111.288;118.277;124.287;131.788;142.277;150.287;164.777
ROI.D [],7,32.777;57.280;84.278;111.288;166.279;189.281;194.777
ROI.B [],6,70.287;77.777;93.275;123.785;128.788;145.776
ROI.06 [],6,57.280;85.277;103.278;110.779;136.778;159.776
ROI.29 [],4,19.777;81.279;93.275;103.777
ROI.26 [],3,76.778;97.777;123.283
ROI.22 [],3,111.288;165.788;194.777
ROI.24 [],1,19.777
ROI.31 [],1,147.789
