ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.F [],95.776,25.776,70,80,10s1
ROI.B [],67.776,37.776,30,40,10s1
ROI.06 [],62.284,32.284,30,40,10s1
ROI.06 [],89.776,19.776,70,80,10s1
ROI.21 [],32.277,2.277000000000001,30,40,10s1
ROI.31 [],74.278,4.278000000000006,70,80,10s1
ROI.31 [],95.776,25.776,70,80,10s1
ROI.31 [],150.287,40.287000000000006,110,120,10s1
ROI.E [],97.777,27.777,70,80,10s2
ROI.F [],56.276,26.276000000000003,30,40,10s2
ROI.03 [],30.776,0.7759999999999998,30,40,10s2
ROI.03 [],51.78,21.78,30,40,10s2
ROI.03 [],84.796,14.796000000000006,70,80,10s2
ROI.03 [],101.786,31.786,70,80,10s2
ROI.03 [],113.778,3.778000000000006,110,120,10s2
ROI.03 [],142.776,32.77600000000001,110,120,10s2
ROI.03 [],150.777,40.77699999999999,110,120,10s2
ROI.03 [],164.788,54.78800000000001,110,120,10s2
ROI.09 [],97.777,27.777,70,80,10s2
ROI.10 [],97.777,27.777,70,80,10s2
ROI.11 [],98.284,28.28400000000001,70,80,10s2
ROI.12 [],97.777,27.777,70,80,10s2
ROI.13 [],98.284,28.28400000000001,70,80,10s2
ROI.14 [],97.777,27.777,70,80,10s2
ROI.16 [],98.284,28.28400000000001,70,80,10s2
ROI.17 [],103.277,33.277,70,80,10s2
ROI.18 [],97.777,27.777,70,80,10s2
ROI.19 [],101.285,31.285,70,80,10s2
ROI.20 [],103.277,33.277,70,80,10s2
ROI.21 [],103.277,33.277,70,80,10s2
ROI.22 [],41.777,11.777,30,40,10s2
ROI.22 [],85.777,15.777,70,80,10s2
ROI.22 [],122.776,12.775999999999996,110,120,10s2
ROI.24 [],40.278,10.278,30,40,10s3
ROI.31 [],50.778,20.778,30,40,10s3
ROI.31 [],83.778,13.778000000000006,70,80,10s3
ROI.31 [],89.779,19.779,70,80,10s3
ROI.31 [],94.778,24.77800000000001,70,80,10s3
ROI.31 [],106.278,36.278000000000006,70,80,10s3
ROI.31 [],142.276,32.27600000000001,110,120,10s3
ROI.31 [],156.285,46.285,110,120,10s3
ROI.E [],117.286,7.286000000000001,110,120,10s4
ROI.E [],151.778,41.77799999999999,110,120,10s4
ROI.01 [],72.778,2.778000000000006,70,80,10s4
