Time (s),ROI.E [],ROI.C [],ROI.A [],ROI.F [],ROI.B [],ROI.D [],ROI.000 [],ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.26 [],ROI.27 [],ROI.29 [],ROI.30 [],ROI.31 []
0.261,0.12567463759917238,0.023509033953078417,0.016486930098612396,0.0360926646327726,0.00836753097469341,0.05791620583604562,0.0,0.032233856022307786,0.013897262192591138,0.013270210848527475,0.013282443909280134,0.01499331882348915,0.03129585095884313,0.14513785585399716,0.11898703464507289,0.13468902798492488,0.11750557907338244,0.1507055644236709,0.1300175983590877,0.11459591333984825,0.10243137265518817,0.143223244025879,0.14505134426140254,0.10267998176033588,0.16367864270593935,0.05014560694701585,0.08641286875428485,0.013484892663231537,0.013188094925224459,0.01022288588998288,0.009023233862697065,0.009841557239625756,0.05968600908133285
0.778,0.12566672621570563,0.024876133470348703,0.01601413736824133,0.07349867647137814,0.008491426130058098,0.09164163651552726,0.0,0.03375685195513616,0.021995335758404174,0.011683191328477963,0.008809429684059279,0.019922379850565303,0.02398694167687387,0.15933415240683899,0.14546172456778422,0.14594227818164657,0.11950020179423904,0.14409777858814984,0.14893864168464935,0.10501948454266828,0.11678387484160689,0.1432207431755001,0.1347778058369062,0.09299713436549815,0.14339126462665805,0.08570781642987294,0.04839980810733388,0.013320348131350334,0.012307154033419922,0.009328557562637034,0.007222485581971264,0.008118304302521131,0.06638978448974732
1.276,0.10658016348208964,0.021879509473095717,0.012785256737054086,0.046406969354525214,0.006112420649675179,0.08824531967819733,0.0,0.018174410354281825,0.014068446246556808,0.016076555929858734,0.012121721002296556,0.017241320793182052,0.02297494443224155,0.11199068023243663,0.11583362771411278,0.11885027247110223,0.10165700130486119,0.12641794145511923,0.12620032158688324,0.09526372881663792,0.09765839089447557,0.11868494959382772,0.11399432675332946,0.10874980625659761,0.13533579035047708,0.09634954627596487,0.06184249716645176,0.008182281815408069,0.010679578845216154,0.010663557718901111,0.007626770532041686,0.008997370221591989,0.044928081140296616
1.787,0.10195291274570524,0.01805925826436117,0.012274922526457366,0.07661183323291036,0.006310299223773618,0.1550558460416178,0.0,0.020901418027282088,0.005344738862541063,0.0034321351783637684,0.012702251684330205,0.014702729871640176,0.029762532779629734,0.11554689178250598,0.10884007177289548,0.12935424286988076,0.09260738439759722,0.12750846850683628,0.10836943812132212,0.09281136321041096,0.08416808677425189,0.10941147130846092,0.09248127493787363,0.08903203940793548,0.13028507753503626,0.14863771057074693,0.05613665721870037,0.009859396669574501,0.010417199776962793,0.007157364210666638,0.006936847657665438,0.009327425761215336,0.10358695573115559
2.276,0.10022216177430601,0.00502684835159946,0.00568711557521213,0.060178228132684385,0.005799774258631161,0.1318783419479275,0.0,0.009620607257363717,0.005972319593144583,0.023059456366998764,0.027585298608017512,0.002167226457683057,0.0002633100800042999,0.11002178436629527,0.10551203205657098,0.09976739013446208,0.12513062615493345,0.12156605514199212,0.12126350052547646,0.07784298935291264,0.08978469710047637,0.10219075502712671,0.10375767899010828,0.10980261277988654,0.11257161051970346,0.13558184157152411,0.017493161225151356,0.03265323984010521,0.009474191529357443,0.008733968540635436,0.005208362281901155,0.0029347350103874916,0.0494910056245651
2.778,0.09058583014052873,0.012221060592980672,0.002013362320549163,0.0644130339966301,0.004389300833787925,0.10588975539919679,0.0,0.0027846923816737712,0.012963020276826914,0.017001548353045452,0.009817550507304084,0.0027406953970560144,0.004776730052095903,0.09560810186934116,0.09709177486437057,0.09040999523630794,0.12532894808359732,0.08454247443634402,0.10003029667675073,0.07495138477456882,0.115326639719286,0.09215058302083236,0.0988611035261976,0.07060022059800253,0.10799863123452191,0.12203285316861802,0.041265168638617976,0.024157860253088807,0.006530251967824455,0.00915781949576136,0.005127342364061788,0.005992735032131468,0.02239789982479736
3.278,0.09193216686974327,0.008017493413665722,0.011573661062896166,0.09046952980637686,0.0062137449190740575,0.15295037323064323,0.0,0.028585434564454275,0.01579816694303629,0.01592273235759959,0.010714338504300779,0.01316442064973343,0.016695038653299986,0.1104446207195376,0.09541661898216204,0.1204879340416652,0.10871180510750575,0.08635444027609065,0.07376210513459298,0.08925678578845249,0.09764714394057639,0.08927255686120435,0.10121365018487367,0.09914110226286901,0.11998905340538274,0.15279093188817972,0.04639582449607532,-0.0014363323755570677,0.006003500095348791,0.012208742923560011,0.009051976360799713,0.008714968396245238,0.0974198938456252
3.777,0.07469764066565125,0.008352476055880064,0.005341443754160826,0.045901815001498154,0.0024297127448516553,0.07373491234316917,0.0,0.01619956266243341,0.007705189738208765,0.005755702677312942,0.01343977546240452,0.00506047230902126,0.009942946489500917,0.09633349100824048,0.06492833671783796,0.11024194879432661,0.08446567661371898,0.057302317654003995,0.07733763268763866,0.0739168007652053,0.08228490493802687,0.10622890558585865,0.09296177270461316,0.058697278757281916,0.07336489026912468,0.08953091597592891,0.034774471234761004,0.007679060016115929,0.007891863699188843,0.0037952241451950134,0.00533504635512787,0.0018735825222623557,0.03830663750408028
4.29,0.06076150787421491,0.004579275525886178,0.008255541707621444,0.026933757280262306,0.004084617112277855,0.12768036709507397,0.0,0.01090457632679595,0.009835795581651105,-5.6488440713306674e-05,0.012285462683763433,0.003984028825402261,0.02210368626023805,0.06553857745705714,0.06315006122093307,0.08327043467344299,0.07452155289928754,0.05235658872443538,0.06370971635015016,0.06269553551332743,0.07205559173037457,0.06657576733641332,0.0667208199337733,0.05674174822255045,0.07852999699984138,0.14018754877997214,0.02764092648744232,0.0066483610140410645,0.00883857200200744,0.005835494068198428,0.006231908928938232,0.003891778835863104,0.013134046992966098
4.779,0.05184949670756166,0.01240187231678382,0.00411566183734129,0.015038744981183546,0.002213231794909678,0.07951604748483065,0.0,0.0038326109872330646,0.00390052254038553,0.008942824620805185,0.016631417207018523,0.007102198954133328,0.008600363131760018,0.06349669313368662,0.05889779025562082,0.07072637869250127,0.07007057088265757,0.05963205736627646,0.04848127916167917,0.06691946211759689,0.05900621756380437,0.054310413788354446,0.046741135409542,0.02982709673848398,0.060947721514870504,0.08607469125799681,0.03697516280312893,0.030707852562283283,0.002967360753855191,0.0056878376411952395,-0.0021599377150995787,0.006441557044894236,-0.015545784760752749
5.278,0.05143328297012971,0.01084214915349811,0.0016766103616723182,0.0358882160356615,0.00295420506200003,0.11065032862661064,0.0,0.0032853641152389723,0.004047441659634414,0.01250066395445595,0.010163182026754335,0.0014366664312972354,0.009145659893196639,0.07775732610659901,0.03688804833026897,0.04028920871452421,0.048293695228517994,0.06311443874470175,0.06169495423039517,0.04950898626327267,0.057764814766202564,0.05878435471944313,0.051899444731154896,0.05708002683325147,0.07953236519488978,0.13002473398636696,0.03854567350596116,0.023824202595952675,0.006078224158398798,0.006608991733947776,0.003895239501585696,0.0017734433300182191,0.024037362937104963
5.777,0.03656128547597151,0.0051668641038716085,0.0007015126753082029,0.08410187243912091,0.0025056212764955716,0.18661321142935675,0.0,0.006372823704194055,0.009666642419194403,0.003317871648919916,0.011219452690674465,-0.00044269144903312155,-0.0020630413509215417,0.052348030599269416,0.024898987639842537,0.04458763407302634,0.052569092314121865,0.03747413693416608,0.03654205135117077,0.03442456418921001,0.053610434751278815,0.03717632300743512,0.05274167241460549,0.057333382469617056,0.0361446069636518,0.19714914737136502,0.010121702787880391,0.0216811480073486,0.00207278112659918,0.006565056140502023,0.005005053201267208,0.0060583391538250615,0.06273367548940412
