Time (s),ROI.E [],ROI.C [],ROI.A [],ROI.F [],ROI.B [],ROI.D [],ROI.000 [],ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.26 [],ROI.27 [],ROI.29 [],ROI.30 [],ROI.31 []
0.258,0.08443288372925606,0.0382124553602386,0.022097285057868028,0.07844536125023313,0.007486730718106389,0.0913360510884779,0.0,0.026780123125133427,0.019236154206687825,0.03885105573960805,0.042159603289006906,0.013608954707043522,0.025720135570963754,0.08573168488668244,0.08730622718474483,0.08479257755554764,0.07844222236589313,0.0940940325919389,0.0773015873470305,0.08767722784213114,0.07915782914077904,0.0874295187468092,0.09617271106836411,0.08270774290905926,0.09183365590951444,0.09021071235396165,0.03832940928999028,0.05606155994118373,0.008435585404028886,0.011922762808006181,0.0068409199159648595,0.012971723659849698,0.08658567153223028
0.786,0.06616744834539837,0.026829567933272357,0.017388919041645103,0.06363323747581373,0.005047914346812571,0.05538638786287494,0.0,0.018153337769858228,0.019052969662124063,0.029726689935929303,0.029748376527202944,0.0041264681558928085,0.024040578385087868,0.06507639089455552,0.07205849166826245,0.07567844007579576,0.06671988335798976,0.07738236024026665,0.06507569734832336,0.07588345301535719,0.06132477549261679,0.0720216997777679,0.07234859285121592,0.0667027969056068,0.04852582819629595,0.056756672629466605,0.03536333083763338,0.02974280062068222,0.007002839335945746,0.009942695200546007,0.004120283276428809,0.006998268344574341,0.0690846515404255
1.277,0.05513353383449825,0.01620687750873986,0.014000358547305443,0.044091726321545247,0.0022328508387564313,0.04986118802028189,0.0,0.006418400963551714,0.016488131702873058,0.03020158890097416,0.022376817575797937,0.008775493852680815,0.0152248772272952,0.054874554976859224,0.061842048401922936,0.0650713844403312,0.05711211439174525,0.0720859740670109,0.05946498335442367,0.05634872339849826,0.05245689999525431,0.05683869568259109,0.06070653530726174,0.055345655779965884,0.04377962296477548,0.042196248440409055,0.016748550274919553,0.018785531630598026,-0.0008576145612248283,0.01057285430866854,0.0007383062025264888,0.0020296332260294654,0.056321578716249626
1.786,0.048578858855654064,0.02336152844927555,0.011317329776508407,0.04530702243646081,0.0038615386678175516,0.06048522383861231,0.0,0.00797640822096155,0.009018960484957908,0.017213549715649246,0.023120101975326914,0.007672091760152499,0.013384535615175455,0.06345011554862214,0.05717549592463325,0.05011267835244938,0.04145581578822501,0.05203355892849788,0.050445485201419,0.05640045907665351,0.04699305508405879,0.058197912046716475,0.052281382854614256,0.04715268185720496,0.044345850666467596,0.049706054758509824,0.029984710083935977,0.04317045164735556,0.006022294526099065,0.011077073111282773,0.00487700648427907,0.003312067836142565,0.034668312878251416
2.277,0.04215721123520216,0.0224230965065217,0.010949004454637845,0.05550713576714705,0.002743906655159191,0.051532409154211596,0.0,0.015768492441744292,0.017272724546771694,0.01953531708481932,0.01964675670866527,0.002390228253119579,0.015435030969919713,0.048735154915420104,0.039527936144883084,0.05135022898869411,0.0471482315419842,0.048835782381459546,0.043733942387715094,0.04591725673658071,0.04313579746578363,0.0466664874669393,0.04372251807591871,0.05254280192490741,0.043143746496613254,0.04015604875039961,0.02480808417614181,0.027752759710151884,0.004156908153621514,0.0057178537809874,0.0001567677675151869,0.005060943209079277,0.05607929493742169
2.777,0.03607707024426549,0.021205825435169832,0.00901802705639358,0.05830090518816167,0.003800613263997351,0.038853650498574525,0.0,0.012365960466692921,0.012206289709107705,0.01021171491135139,0.018606031970719437,0.005222602541919748,0.017423616700653198,0.045317491665753516,0.035865539601866316,0.03452760122708925,0.03836459170828288,0.037025213331233174,0.030204164180883928,0.03927196227725432,0.03479144234699621,0.04309804570094344,0.04035459755812527,0.029851121789554323,0.03960398764309087,0.03867697823406421,0.02538499272070157,0.02018932286193803,0.00518233687935925,0.007951064750321769,0.003120965141797623,0.005123316502497879,0.05853846093729542
3.277,0.03341143721345928,0.01111164592429393,0.0066534631807883765,0.021021594024003974,0.005156155215778423,0.07706276439463623,0.0,0.013168328379477958,0.007126849837838258,0.01921167015178691,0.015608226129901096,0.004065623266404247,0.010170748911928566,0.03693215917346371,0.03848633686549071,0.03665313772999278,0.027863298909358108,0.03755965500851585,0.030155814164650935,0.03806824975943555,0.031441366121205176,0.034698770614944974,0.03907447188937195,0.02918388565035436,0.039894587669652655,0.07053421108522319,0.010871061226608074,0.030699092415789477,0.005703169546286708,0.0038504074359168136,0.00288793014754315,0.010436325952107015,0.037090529347376444
3.776,0.029271657928174155,0.018808757653895027,0.0059689033508260655,0.023844488388691312,0.0040711678770301235,0.033997180704982886,0.0,0.010780981716088675,0.013449601250789017,0.019617174266700028,0.00822990160170936,0.0012847860787416334,0.009370653662204659,0.03836319389922573,0.03255996784078984,0.037236451195935286,0.023177032449592423,0.021058229453632095,0.02501806611453335,0.03150680801386569,0.030384439184081027,0.0351592037803381,0.034683230858925856,0.03458171636481965,0.028749099062060673,0.04434882471107258,0.023113392127514388,0.024162012297693526,0.008406096070347376,0.00461408549127606,0.0025664577196858394,0.004724953700040124,0.015928270630368595
4.278,0.02651552699691445,0.01422437560568385,0.008927964486556058,0.024437761624945185,0.0037713291949972695,0.06135571936458276,0.0,0.011629603125825167,0.015025757215162439,0.014271771000244106,0.009421012356904136,0.005938489330865811,0.007525360434716268,0.029033351873314517,0.024247325979779688,0.025917028053944385,0.0281329697747127,0.03847305784923057,0.03089972332461559,0.039004524878314926,0.022789535942179844,0.02362260784754277,0.02942859589075679,0.026640706645746488,0.036481913573944,0.06290155740494993,0.02017074550184663,0.008837572338903393,0.0042286843807797314,0.004629104066451683,0.002171655607552469,0.006384995575544604,0.022972608106143162
4.784,0.022489843143774283,0.021700271886931157,0.005678547576329374,0.03126429627740953,0.0029891701371849446,0.07243142395841726,0.0,0.014735631429453095,0.00902283778502259,0.008617916497541974,0.006346720081323191,0.0002615357300195775,0.007547008093162383,0.029026615098572392,0.03438224549688392,0.032368677348824315,0.01735894106886112,0.026260149429034648,0.014829650972418196,0.02594672067963054,0.01830508326121841,0.025628007081614067,0.022761710770177274,0.027179923199367396,0.022195997042931136,0.043498522641027736,0.025266587121875832,0.02117317720493476,0.005952623712289102,0.00911920851759437,0.0027075333299723535,0.002500715386764779,0.03601891046930269
5.286,0.02199931421997535,0.018889309701111107,0.010387725900429662,0.02983571268402663,0.004490525777685321,0.07859988721529809,0.0,0.012993995168207102,0.01842687100222357,0.012844117422670364,0.01367406354801582,0.006681589790700576,0.011424372523619565,0.025383045760114575,0.03800668519358793,0.024745878088161966,0.02074747750209671,0.03350944030035446,0.020412283404175575,0.028402816147474298,0.021412844251150077,0.0269399642050378,0.023140556280336587,0.02191822783794308,0.018935140518050356,0.059726431577472594,0.025815490966005557,0.03559494179390682,0.0035938771031811573,0.007001061690386176,0.004974299285189692,0.0029197391292633107,0.05116393626208317
5.776,0.01929732235409464,0.01623998358006554,0.007215979862006976,0.024841638859982265,0.004219343994739943,0.07016976919472073,0.0,0.012103714181747015,0.01724249643990632,0.018946801791434934,0.003384673958913342,0.004015478267623124,0.0076259193998315065,0.01566395729230143,0.017128690099235396,0.018414744623178256,0.016432690547285286,0.026891694478732263,0.022185683530806445,0.023774103235386812,0.020862359977744042,0.015728334139148568,0.024133822253471358,0.0268218317820544,0.02448014260991246,0.0516891553397858,0.010110374573402931,0.02236710305973725,0.008246757624921074,0.003797866511218578,0.005726495634602678,0.008471066326098427,0.02969724727858569
