ROI,mean0,sd0,thr
ROI.E [],0.032827854763843305,0.017231246886684256,0.11898408919726458
ROI.C [],0.008574310839763172,0.006269118215162457,0.039919901915575456
ROI.A [],0.003161141050492722,0.0027755604841117,0.017038943471051223
ROI.F [],0.02073068147021414,0.021239930846474703,0.12693033570258766
ROI.B [],0.002288583374949021,0.001345898674774805,0.009018076748823045
ROI.D [],0.03143892228052687,0.028063201146587034,0.17175492801346204
ROI.01 [],0.009537405854613207,0.009050579390354158,0.05479030280638399
ROI.02 [],0.011339091370748539,0.006704025603105317,0.04485921938627512
ROI.03 [],0.010180406513280617,0.008084314258840864,0.05060197780748493
ROI.04 [],0.010133724328503763,0.00492990201328053,0.03478323439490641
ROI.05 [],0.005905327187364923,0.004989828558036497,0.03085446997754741
ROI.06 [],0.01599662601719057,0.01035243464774393,0.06775879925591022
ROI.09 [],0.03264345863718371,0.019093678896207316,0.1281118531182203
ROI.10 [],0.03475014338858522,0.013368287961456036,0.10159158319586539
ROI.11 [],0.044661149106916015,0.02445074916916756,0.1669148949527538
ROI.12 [],0.03667899522491544,0.01633287191408272,0.11834335479532905
ROI.13 [],0.04971447151846407,0.02244220207232452,0.16192548188008665
ROI.14 [],0.03819963183874128,0.02339334797263122,0.1551663717018974
ROI.16 [],0.03203001146434624,0.011412731592304012,0.0890936694258663
ROI.17 [],0.03587532034338761,0.01853053558786241,0.12852799828269967
ROI.18 [],0.04723219980882614,0.014529015478553101,0.11987727720159164
ROI.19 [],0.03393634060671226,0.016398589831515452,0.11592928976428953
ROI.20 [],0.03385026046300473,0.02090701282135024,0.13838532456975594
ROI.21 [],0.031041140752980093,0.027158864396890598,0.16683546273743308
ROI.22 [],0.02803237076036607,0.025411823762121623,0.15509148957097418
ROI.23 [],0.03763975090690024,0.02182802214030135,0.146779861608407
ROI.24 [],0.008343414938036784,0.013659414584804018,0.07664048786205686
ROI.26 [],0.003493375139024058,0.003215992813726518,0.01957333920765665
ROI.27 [],0.003485521850881932,0.0025930859246958743,0.016450951474361302
ROI.29 [],0.0026180541305040133,0.0017940172257575975,0.011588140259292001
ROI.30 [],0.0036100340101351954,0.0028345665997388672,0.01778286700882953
ROI.31 [],0.03651014384857413,0.025849518804454973,0.165757737870849
