Time (s),ROI.E [],ROI.C [],ROI.A [],ROI.F [],ROI.B [],ROI.D [],ROI.000 [],ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.26 [],ROI.27 [],ROI.29 [],ROI.30 [],ROI.31 []
0.261,0.27955513548810984,0.05588585568523866,0.03881572877774252,0.20878020175499504,0.020770771977262934,0.17919929784834554,0.0,0.052883610143665806,0.033937429011020516,0.05223410592385008,0.0695452073953314,0.03112682120155427,0.039418821603926124,0.2782782888757391,0.3485705913496795,0.2940814949014513,0.3145847045049837,0.3059383971591599,0.29811268390949713,0.23295521481973833,0.2554155492621665,0.29647421532025103,0.2445061431250098,0.2376714057805689,0.28310977208164184,0.1698723816357834,0.10161067212270199,0.0582819333562137,0.02508670925451211,0.02215461447805244,0.023978108186954845,0.02116545561236004,0.19815192675037402
0.787,0.2511458639691407,0.0424342269139796,0.03980853100388032,0.23709035209314708,0.018239569677143994,0.13712313969769344,0.0,0.04599067031517593,0.027889843292324176,0.04772391738398868,0.06347377833219175,0.02770061409830619,0.049538195639919465,0.25251947740737873,0.3253861808282116,0.25414482476936917,0.3083747465265912,0.28621511159521973,0.25478692683974513,0.22283718129477886,0.22390808796607392,0.2551355764014146,0.23687539992762177,0.22771275206085595,0.28894463439830276,0.1331457121072579,0.10298006486465791,0.05750253747913899,0.017506276057792893,0.016183778464635826,0.020050385626707933,0.02325314881073498,0.2451628162713019
1.278,0.20965265992546353,0.03245124632063862,0.03090947620260451,0.15566647340026682,0.016020252376636464,0.15041555811703214,0.0,0.04045186115539459,0.022899895725269123,0.03186477492046918,0.04982046583029088,0.026298035194644246,0.0392703591885378,0.21092155637397705,0.2645532722492258,0.21929108251388274,0.24911488320192954,0.2463481275794066,0.23037522594710172,0.18512737924148673,0.19370695674383218,0.22344271319336118,0.20319547213235895,0.2097178598621237,0.23959580867182406,0.1572754465590181,0.03894749891979719,0.049777669957220896,0.017443119943760826,0.016516005550853422,0.016488232569212093,0.020215129313426013,0.1612428268984519
1.777,0.18473170451674112,0.03520867610855204,0.028645468135527263,0.167340076644899,0.011920855386336117,0.12441430428445062,0.0,0.03235398303269238,0.02844026856330011,0.01949647571913627,0.04204151206069378,0.023877890090222745,0.03445797911625394,0.16347994644008287,0.23917013868559497,0.19171557109949589,0.2124270845672205,0.2349125708036849,0.209967419728026,0.16861740189861432,0.17276686152565673,0.18852884300226147,0.175485883075578,0.15215681647383955,0.21361851520837255,0.10760404998601032,0.08643338972357678,0.02944345644169901,0.015250187415743334,0.015326043213278778,0.015371619501526856,0.01250494152376326,0.1894121414052196
2.294,0.161357047002933,0.026251897151972813,0.025753760569202054,0.1426896484676937,0.01148730690768812,0.12106005746412447,0.0,0.043986249433953815,0.02551758708619942,0.024845714911532098,0.04016279582941827,0.019484398029061288,0.03140774085887037,0.1403165917615929,0.21722133245506534,0.16420919464376532,0.19060533028939228,0.21179785186673938,0.14249062157515197,0.1582199459072949,0.1516290610339469,0.17800525389572974,0.16408760373058814,0.16139378154826264,0.2051464078860794,0.13831570116216552,0.09436011058661475,0.021044191601909425,0.01037175529871023,0.014210041201301938,0.016043135422911657,0.01736842388832519,0.11783919552152314
2.777,0.14170715628398015,0.026120969377315298,0.024652576847231905,0.15498202769988217,0.009233717683981417,0.13047241219110026,0.0,0.03241575221811476,0.012047425961688495,0.017633637215631506,0.046386037492180975,0.02264796792641991,0.03312415321804412,0.13253547276319563,0.1993219573281019,0.16713794365291415,0.1602749747638422,0.1772343233338698,0.17332145394720078,0.14312418600726157,0.11636720379999134,0.14495039158765946,0.11770756672732528,0.13979788272707483,0.1734322219119757,0.12364273913551521,0.0898913336247386,0.029676609527672093,0.012102772268037658,0.018801457151063922,0.01388391575329679,0.013653735568075713,0.13166905990345987
3.277,0.1338873326260654,0.03771313085482396,0.021815114795310953,0.1443223217336108,0.01054558160683298,0.1574330974664583,0.0,0.02672779342989058,0.022779019842838134,0.024403424786246828,0.036162380057036286,0.019641292134019786,0.027106692304843114,0.10256243657093,0.1616502639345955,0.13570720742302705,0.1522103101652953,0.16250783720460876,0.1440846254453015,0.11092760752419216,0.14184770418095774,0.15811513647239284,0.13408435025109203,0.13316758025641734,0.1921639048586973,0.14090304199857417,0.08439797277930539,0.0560324220240187,0.009837248852431552,0.012030840681662991,0.010791392868467193,0.01718900936420474,0.14302503906557926
3.787,0.11847111585428577,0.025736865479526437,0.019164435721074787,0.11280035590730877,0.007870598179165909,0.04967027231140238,0.0,0.019621269534861156,0.016338777993931734,0.026067750148465185,0.040025302598493954,0.012180029746890838,0.01844617102313367,0.12588853437583603,0.15038499607444994,0.14561497592793277,0.12748281956454988,0.15854894717914117,0.1200013724015492,0.09926694710079559,0.09766987918344867,0.13869597722114121,0.10490874038168581,0.12349208106106002,0.16410146346780125,0.06659337527840939,0.049887579137860676,0.05183459508368666,0.011553615708271537,0.006349400146163076,0.010089029183182318,0.015369609080280656,0.12339550116816875
4.278,0.12079000136110278,0.03591774212420592,0.01938032884138853,0.18608708479046518,0.011486978970369249,0.0627658431169826,0.0,0.029075861894927037,0.003537919734644064,0.0304440974451246,0.050337527499038276,0.006563781819714601,0.028088180079632458,0.13036163590812916,0.14977499846750691,0.13440990447685197,0.14743335848233727,0.15758341933820294,0.12142798808205382,0.0909727627378596,0.10953459081318608,0.12643546487997814,0.12574539771593435,0.10708522423124042,0.21631633404382936,0.07670334381157401,0.1323024797743279,0.050067629966971006,0.007608241257009686,0.01483287241996901,0.018745175550838898,0.01388650715505337,0.15032430323788487
4.779,0.10052547593577663,0.029376281433025567,0.016578839812164285,0.05676563320741314,0.007236567830337646,0.1360053791754008,0.0,0.013470771113006227,0.005081212781651785,0.00560794939862932,0.03037685141630832,0.011112751332785413,0.03275726904222545,0.08720966874345419,0.12813036551436888,0.12586171318898548,0.09163537597006073,0.129594749862277,0.10715535591571039,0.08570679634427607,0.06198752626282547,0.10746117652634593,0.08338465891872793,0.09538966708770766,0.1600051171354628,0.12453768853567175,0.13125243954429588,0.017871165743112306,0.004794010882302996,0.010304129249733665,0.009430531076161987,0.004985069424793518,0.04401711400687003
