Time (s),ROI.E [],ROI.C [],ROI.A [],ROI.F [],ROI.B [],ROI.D [],ROI.000 [],ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.26 [],ROI.27 [],ROI.29 [],ROI.30 [],ROI.31 []
0.259,0.34203681496867033,0.028575425979465583,0.016056070829985086,0.1328818033433473,0.00920295824740567,0.2092387310443959,0.0,0.02798002945491923,0.01724911067420399,0.014025494214848852,0.030954056540618866,0.016858494482909204,0.016425750630601515,0.37386382946892605,0.3467042869606475,0.3438992137295986,0.3685056313404848,0.35715250655611425,0.35544561407498587,0.3206837617071865,0.34211084693466726,0.34624263971893404,0.36581432306744965,0.2905086803909447,0.3690948324480807,0.20785831364941318,0.039689034468305164,0.030098431049956725,0.004660730371591111,0.012061178677066537,0.010665177982925949,0.011974211978558816,0.16950229058182273
0.785,0.3174488003505244,0.025782085101682593,0.015150703240668709,0.09821523161069384,0.008600829053990294,0.23701411155368304,0.0,0.008261934328098287,0.018637574547283754,0.020599636043065507,0.01987457646721878,0.012993951161421729,0.018127691251996817,0.34880301453787005,0.3069969662474907,0.31458738492896854,0.34299033709601645,0.36026123706918484,0.31773399781978784,0.2789985848188829,0.3167956431138344,0.32426345173862575,0.34169821487699753,0.2598871213303668,0.3350338432432733,0.21735860513359656,0.041848796876848254,0.03369216041142147,0.004824922134056693,0.011033126920479657,0.008545900244946995,0.01051031576263461,0.12189410833483336
1.276,0.2838309927143366,0.019950047037580663,0.016714672304014307,0.11444037313221878,0.007824786485069034,0.2064098339480146,0.0,0.021388264318128625,0.018230146076823397,0.02382026845937632,0.034653287156691095,0.010882101203970606,0.01928407436122597,0.3084455957804066,0.2854609075201539,0.2785021584316117,0.29883174833534043,0.3023471130042471,0.292115063504173,0.2631664979346525,0.28395623385358165,0.30189389814617196,0.29339141951534,0.23801814055164008,0.2923237009775556,0.2091948105604627,0.025243542743341098,0.04170510842779761,0.004475403482001649,0.006869366557138168,0.006247030652879893,0.010035177651724979,0.13162217251877573
1.786,0.26278885254874434,0.013984508834952874,0.013182306602125105,0.1399007223394158,0.006672844942240537,0.1818370786284799,0.0,0.018204087534552944,0.013197395540236597,0.020622402743744897,0.024947881205608816,0.008805196790132443,0.015607168274483229,0.28100168345608806,0.2574682256235735,0.26420302732413503,0.27419273188326504,0.27758177240715787,0.25804313745714796,0.25340790393727913,0.2637696155734728,0.2588885432917778,0.28566959832469074,0.21019310261823868,0.2747502730855998,0.17274188779210076,0.02788889735131656,0.029849509558741282,0.004887042011620016,0.007484431226437675,0.008890898702645218,0.00786358040937362,0.1339542458921336
2.277,0.2349964332713584,0.014291929674053688,0.010032850489329921,0.07446856751718137,0.0066185244456362785,0.146790039103155,0.0,0.019731108211129913,0.005287785802696486,0.024654529215805212,0.01979471074356911,0.007171677635800109,0.011926193342732158,0.24483382352438401,0.23231912699125198,0.21879071069109984,0.23930935066489392,0.250380644607141,0.2419729317776841,0.2109713725663704,0.23485721913881324,0.2385477323715244,0.245375360831024,0.18849270069310037,0.24850314241202412,0.13656917135627153,0.031518799953535355,0.03306409259426725,0.006677621681723279,0.00592981968290329,0.0077385352286410206,0.005476648662334928,0.07605095941911016
2.794,0.21289871254578335,0.007642575948146727,0.009971777580242225,0.09819987826180224,0.006161526612331054,0.14994233852022493,0.0,0.009527305616791944,0.013611801892284635,0.014702350585989999,0.027041238664449983,0.006138954761461126,0.015605122259999637,0.20850819634422874,0.20872932444518216,0.20911141704515762,0.22735356562436204,0.22633199620691344,0.20394219130117777,0.2113619393113275,0.22747408041037426,0.21275671356806986,0.23483401189455738,0.18155406181138786,0.2140011361991644,0.14216397615578294,0.012398535136668968,0.00986823936337643,0.011289756268493312,0.006055059998831747,0.0068755045354606525,0.007741884152520022,0.09328801794973439
3.282,0.1957080217331862,0.016485789285356173,0.006856729960825385,0.07188561538837572,0.007074344802572201,0.12124987581216981,0.0,0.0017632652525759235,0.006747741956176718,0.012760424532760805,0.013782133854617795,0.007215543301130702,0.009735778540967107,0.19761437306146748,0.18233668531133765,0.19248898544812948,0.2156662099833038,0.19063683908664913,0.19821042221089258,0.2092171524288924,0.21487793773299033,0.20445978448371882,0.20771993509187336,0.17537195301255012,0.19652284201256062,0.10605598387534593,0.02632071500706046,0.02711400563693645,0.007228997033649095,0.007996799540105062,0.006826152676813886,0.010511328394761106,0.0646740383548312
3.785,0.17575085788539183,0.006856304637968346,0.008233142757667898,0.012915377651052072,0.006561806797976151,0.1238068720218531,0.0,0.013788570073080365,0.0050901094133271214,0.012567923975957084,0.032118590691894176,0.008272119298539911,0.010276376034481132,0.172914136204124,0.17472101829614461,0.16511330310001096,0.17210789369814325,0.1949478694889862,0.1809997942076104,0.16871419746580477,0.18767618688170656,0.1737499923334323,0.1885917457860159,0.16314782976260264,0.1789121918397213,0.11282398331020953,0.02707537168060491,0.00820577240726094,0.002704536150586364,0.006123907182851171,0.004903362092635076,0.009223511036520003,0.004271204854029251
4.285,0.1567620017604301,0.006939936005346443,0.005395378622088499,0.07939451259249242,0.005074736612536146,0.1214509250541304,0.0,0.010692438295328116,0.015587661021026971,0.0045039799262331795,0.013124739956138705,0.005241854711625264,0.009623046551223785,0.14782978664805874,0.1480119926057063,0.15283807869964303,0.14265553642234258,0.15963510364836322,0.15255698756032765,0.16202410379600465,0.17800597467816034,0.16264892940952322,0.17322618443832336,0.15126971425019925,0.16640382649080931,0.12267672996948471,0.020123180682455864,0.014370541467286507,0.006088266179151841,0.002393342303607923,0.0026901930838874703,0.00506207368204564,0.10031447723933089
4.778,0.14631633052218576,0.026738067754428146,0.00917902917749464,0.08954565429128772,0.0053537303484424426,0.1367658919445719,0.0,0.018675633282647187,0.009643429562031201,0.009964988051021313,0.014551664836708405,0.00524903523111439,0.015153665013216796,0.13849040504044663,0.14496727729424974,0.15094106865714788,0.16011828198856515,0.16444124901631724,0.14847248163456989,0.1555604341265843,0.1794956454113967,0.1247455740632885,0.16319673347633012,0.12482313599755815,0.15217914873427082,0.14708543967552884,0.02586587800356969,0.04710960319697077,0.007068020641426519,0.007407483134269795,0.004788615865397481,0.007842620656267781,0.06913266066852093
5.277,0.12859567494713547,0.011155793619372101,0.006792285661889758,0.07422011682782217,0.004963040002956474,0.1318388186713561,0.0,0.013305656011565362,0.0026903426406170365,0.011973170876687238,0.007374737887458762,0.005338416592086236,0.008629312604225742,0.1286232808132241,0.12781144271893,0.1286236973614571,0.1094684374065666,0.16160453867714178,0.1157224459256806,0.1347341164046684,0.15652901611467268,0.12244803309999304,0.1308895042200669,0.12452122090900306,0.13125355201538014,0.13881465848624294,0.03016795862216839,0.022178071157957707,0.0008304918968759707,0.008781270302142489,0.008357480525218982,0.005158785718026547,0.06642670593244922
5.777,0.11745012700157265,0.009867515598542178,0.0032191721906205087,0.03096088610895581,0.002916659104304838,0.15986264532832198,0.0,0.011099738987430078,0.012809586478128788,0.004101680700500003,0.014666563524631538,0.0019544932205871695,0.00790209984120402,0.10763088056471104,0.11510233267544112,0.11463297778314706,0.11372449566948617,0.14871751807983874,0.13022439389394597,0.13349107019206422,0.1328511493436644,0.1037183327997926,0.12571926529295338,0.1083047275153078,0.1214594546210358,0.13661640997816893,0.022281553770648985,0.020580605715387994,0.0011508882645652851,0.003941489577744004,0.0038451179976021167,0.004617139889816512,0.023452370853668785
6.295,0.10978998511001331,0.004289172957465539,0.005312732627777226,0.03657464633057742,0.003268278113421325,0.12671946485878555,0.0,0.01730159907532369,0.003681457750317308,0.009470444734366236,0.010122691776731207,0.003555331131406105,0.009621021924595392,0.10480282256857479,0.10680756574812572,0.08904554114234196,0.09741923643807757,0.14157343537053987,0.1056111698718279,0.12562684962740608,0.13281130594375126,0.10112798090026696,0.12681856397127295,0.10588399971369719,0.10560366147214872,0.1498185144416359,0.015895027050035555,0.020759097864173407,0.004092804560544482,0.002042771970439576,0.0051211569895915415,0.00277258679040927,0.03677980107511349
6.779,0.10456997144271471,0.0012908660294382753,0.005368756295020985,0.04900229298184838,0.0025524975362927814,0.12419037148266168,0.0,0.01786193399703858,0.008524594770474837,0.00791054661022168,-0.0027132079095689445,0.007431899905232299,0.009108144672310933,0.112191578684278,0.09145427331523161,0.10071650585298204,0.09723698215582173,0.12852491374987277,0.11345319237856978,0.09715391077981808,0.119297651191498,0.0975243927129005,0.10399032229650362,0.11725890438996407,0.09144599467558481,0.12109462400779208,0.01795437305042569,0.008185541788330315,0.0019352899085318248,0.0017716865426847268,0.0049693168598635915,0.0013780113556543334,0.07125181392179857
