Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,20s,14,24.803563095238097,25.35141241496598,-0.5478493197278894,-0.27581431417969576,0.7870263891401137,-0.07371447614488909,ns
10s,2hz,11,24.545353030303033,29.07884573002754,-4.533492699724515,-1.884183810919996,0.08890942781915578,-0.5681027942621428,ns
10s,2mw,3,23.753500000000003,25.281000000000002,-1.5275000000000023,-0.28782907848985245,0.8005628171457079,-0.16617819594671826,ns
10s,5hz,14,23.952313095238093,19.690374999999992,4.261938095238103,2.687141160750036,0.01864544527003703,0.7181686838160481,*
10s,5s,5,24.954050000000002,17.973644444444442,6.980405555555556,1.5652553666276772,0.1925769747380562,0.7000034803851684,ns
10s,Ctrl,2,30.155749999999998,37.90549999999999,-7.7497499999999935,-0.6598761095855413,0.6286681516704938,-0.46660287183093363,ns
20s,2hz,13,23.97994413919414,29.386204769589376,-5.406260630395244,-2.4903874433752518,0.028411914122395507,-0.6907092017585493,*
20s,2mw,2,15.97825,36.282000000000004,-20.303750000000004,-2.7799075817217176,0.21983205980635454,-1.965691502107323,ns
20s,5hz,15,24.473284920634917,21.013616666666664,3.4596682539682595,1.236377741243579,0.2366596466723384,0.31923136009719494,ns
20s,5s,6,24.019341666666666,17.132203703703702,6.887137962962961,2.541069094293167,0.051826294999744296,1.037387113695742,ns
20s,Ctrl,2,12.695999999999993,41.65499999999999,-28.958999999999996,-1.091145440844009,0.47226960604845303,-0.7715563404815836,ns
2hz,5hz,13,29.386204769589376,20.97296153846153,8.413243231127852,3.4249851431778637,0.005032035952396157,0.9499199654946274,**
2hz,5s,5,28.663338461538455,15.553144444444442,13.110194017094013,3.6226747697253887,0.02230421866118047,1.6201094090958734,*
2mw,5hz,2,35.788000000000004,22.159499999999998,13.628500000000006,2.799897277863381,0.2183832207259711,1.9798263518029517,ns
2mw,Far Light Control,2,36.032000000000004,18.2825,17.749500000000005,7.886914019106878,0.08029006145941057,5.576890385545721,ns
5hz,5s,6,22.627236111111106,17.132203703703702,5.495032407407401,1.9342692590734059,0.11088198467054444,0.7896621183135207,ns
