Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,14,-0.0989010989010989,0.7365853699253172,ns
10s,2hz,11,-0.16363636363636366,0.6306852146425357,ns
10s,2mw,3,0.5,0.6666666666666667,ns
10s,5hz,14,0.06600664060208367,0.8226086912967431,ns
10s,5s,5,-0.8999999999999998,0.03738607346849874,*
20s,2hz,13,0.23076923076923078,0.44812738231536575,ns
20s,5hz,15,-0.7363720545409901,0.0017444789734987465,**
20s,5s,6,0.3714285714285715,0.46847813411078715,ns
2hz,5hz,13,-0.4181572043893544,0.15504779265451887,ns
2hz,5s,5,-0.39999999999999997,0.5046315754686911,ns
5hz,5s,6,0.3142857142857143,0.5440932944606414,ns
