ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.03 [],3,3,0.04531012349692438,0.044414653430513686,1.0,ns
ROI.01 [],ROI.04 [],3,1,0.04531012349692438,0.03596273524304155,1.0,ns
ROI.01 [],ROI.05 [],3,1,0.04531012349692438,0.0281244735328396,1.0,ns
ROI.01 [],ROI.06 [],3,4,0.04531012349692438,0.03170821036075053,0.4,ns
ROI.01 [],ROI.09 [],3,7,0.04531012349692438,0.19570817104698826,0.016666666666666666,*
ROI.01 [],ROI.10 [],3,10,0.04531012349692438,0.18631328161848637,0.006993006993006993,**
ROI.01 [],ROI.11 [],3,8,0.04531012349692438,0.19929086126161855,0.012121212121212121,*
ROI.01 [],ROI.12 [],3,9,0.04531012349692438,0.16101868317266932,0.01818181818181818,*
ROI.01 [],ROI.13 [],3,9,0.04531012349692438,0.1836840953349352,0.00909090909090909,**
ROI.01 [],ROI.14 [],3,9,0.04531012349692438,0.1555853062924181,0.00909090909090909,**
ROI.01 [],ROI.16 [],3,7,0.04531012349692438,0.19088229567981413,0.06666666666666667,ns
ROI.01 [],ROI.17 [],3,6,0.04531012349692438,0.17091407168838754,0.023809523809523808,*
ROI.01 [],ROI.18 [],3,8,0.04531012349692438,0.17548615045294919,0.012121212121212121,*
ROI.01 [],ROI.19 [],3,7,0.04531012349692438,0.16814599287850682,0.016666666666666666,*
ROI.01 [],ROI.20 [],3,6,0.04531012349692438,0.1604508654688285,0.047619047619047616,*
ROI.01 [],ROI.21 [],3,10,0.04531012349692438,0.14862201496003866,0.027972027972027972,*
ROI.01 [],ROI.22 [],3,12,0.04531012349692438,0.25452846574498456,0.004395604395604396,**
ROI.01 [],ROI.23 [],3,2,0.04531012349692438,0.0386908577469007,0.8,ns
ROI.01 [],ROI.27 [],3,3,0.04531012349692438,0.014025004577747724,0.1,ns
ROI.01 [],ROI.30 [],3,1,0.04531012349692438,0.0106695570326938,1.0,ns
ROI.01 [],ROI.31 [],3,7,0.04531012349692438,0.2756867732605243,0.016666666666666666,*
ROI.03 [],ROI.04 [],3,1,0.044414653430513686,0.03596273524304155,1.0,ns
ROI.03 [],ROI.05 [],3,1,0.044414653430513686,0.0281244735328396,1.0,ns
ROI.03 [],ROI.06 [],3,4,0.044414653430513686,0.03170821036075053,0.6285714285714286,ns
ROI.03 [],ROI.09 [],3,7,0.044414653430513686,0.19570817104698826,0.016666666666666666,*
ROI.03 [],ROI.10 [],3,10,0.044414653430513686,0.18631328161848637,0.006993006993006993,**
ROI.03 [],ROI.11 [],3,8,0.044414653430513686,0.19929086126161855,0.012121212121212121,*
ROI.03 [],ROI.12 [],3,9,0.044414653430513686,0.16101868317266932,0.01818181818181818,*
ROI.03 [],ROI.13 [],3,9,0.044414653430513686,0.1836840953349352,0.00909090909090909,**
ROI.03 [],ROI.14 [],3,9,0.044414653430513686,0.1555853062924181,0.01818181818181818,*
ROI.03 [],ROI.16 [],3,7,0.044414653430513686,0.19088229567981413,0.03333333333333333,*
ROI.03 [],ROI.17 [],3,6,0.044414653430513686,0.17091407168838754,0.023809523809523808,*
ROI.03 [],ROI.18 [],3,8,0.044414653430513686,0.17548615045294919,0.012121212121212121,*
ROI.03 [],ROI.19 [],3,7,0.044414653430513686,0.16814599287850682,0.016666666666666666,*
ROI.03 [],ROI.20 [],3,6,0.044414653430513686,0.1604508654688285,0.047619047619047616,*
ROI.03 [],ROI.21 [],3,10,0.044414653430513686,0.14862201496003866,0.027972027972027972,*
ROI.03 [],ROI.22 [],3,12,0.044414653430513686,0.25452846574498456,0.004395604395604396,**
ROI.03 [],ROI.23 [],3,2,0.044414653430513686,0.0386908577469007,0.8,ns
ROI.03 [],ROI.27 [],3,3,0.044414653430513686,0.014025004577747724,0.2,ns
ROI.03 [],ROI.30 [],3,1,0.044414653430513686,0.0106695570326938,1.0,ns
ROI.03 [],ROI.31 [],3,7,0.044414653430513686,0.2756867732605243,0.016666666666666666,*
ROI.04 [],ROI.05 [],1,1,0.03596273524304155,0.0281244735328396,1.0,ns
ROI.04 [],ROI.06 [],1,4,0.03596273524304155,0.03170821036075053,1.0,ns
ROI.04 [],ROI.09 [],1,7,0.03596273524304155,0.19570817104698826,1.0,ns
ROI.04 [],ROI.10 [],1,10,0.03596273524304155,0.18631328161848637,1.0,ns
ROI.04 [],ROI.11 [],1,8,0.03596273524304155,0.19929086126161855,1.0,ns
ROI.04 [],ROI.12 [],1,9,0.03596273524304155,0.16101868317266932,1.0,ns
ROI.04 [],ROI.13 [],1,9,0.03596273524304155,0.1836840953349352,1.0,ns
ROI.04 [],ROI.14 [],1,9,0.03596273524304155,0.1555853062924181,1.0,ns
ROI.04 [],ROI.16 [],1,7,0.03596273524304155,0.19088229567981413,1.0,ns
ROI.04 [],ROI.17 [],1,6,0.03596273524304155,0.17091407168838754,1.0,ns
ROI.04 [],ROI.18 [],1,8,0.03596273524304155,0.17548615045294919,1.0,ns
ROI.04 [],ROI.19 [],1,7,0.03596273524304155,0.16814599287850682,1.0,ns
ROI.04 [],ROI.20 [],1,6,0.03596273524304155,0.1604508654688285,1.0,ns
ROI.04 [],ROI.21 [],1,10,0.03596273524304155,0.14862201496003866,1.0,ns
ROI.04 [],ROI.22 [],1,12,0.03596273524304155,0.25452846574498456,1.0,ns
ROI.04 [],ROI.23 [],1,2,0.03596273524304155,0.0386908577469007,1.0,ns
ROI.04 [],ROI.27 [],1,3,0.03596273524304155,0.014025004577747724,1.0,ns
ROI.04 [],ROI.30 [],1,1,0.03596273524304155,0.0106695570326938,1.0,ns
ROI.04 [],ROI.31 [],1,7,0.03596273524304155,0.2756867732605243,1.0,ns
ROI.05 [],ROI.06 [],1,4,0.0281244735328396,0.03170821036075053,1.0,ns
ROI.05 [],ROI.09 [],1,7,0.0281244735328396,0.19570817104698826,1.0,ns
ROI.05 [],ROI.10 [],1,10,0.0281244735328396,0.18631328161848637,1.0,ns
ROI.05 [],ROI.11 [],1,8,0.0281244735328396,0.19929086126161855,1.0,ns
ROI.05 [],ROI.12 [],1,9,0.0281244735328396,0.16101868317266932,1.0,ns
ROI.05 [],ROI.13 [],1,9,0.0281244735328396,0.1836840953349352,1.0,ns
ROI.05 [],ROI.14 [],1,9,0.0281244735328396,0.1555853062924181,1.0,ns
ROI.05 [],ROI.16 [],1,7,0.0281244735328396,0.19088229567981413,1.0,ns
ROI.05 [],ROI.17 [],1,6,0.0281244735328396,0.17091407168838754,1.0,ns
ROI.05 [],ROI.18 [],1,8,0.0281244735328396,0.17548615045294919,1.0,ns
ROI.05 [],ROI.19 [],1,7,0.0281244735328396,0.16814599287850682,1.0,ns
ROI.05 [],ROI.20 [],1,6,0.0281244735328396,0.1604508654688285,1.0,ns
ROI.05 [],ROI.21 [],1,10,0.0281244735328396,0.14862201496003866,1.0,ns
ROI.05 [],ROI.22 [],1,12,0.0281244735328396,0.25452846574498456,1.0,ns
ROI.05 [],ROI.23 [],1,2,0.0281244735328396,0.0386908577469007,1.0,ns
ROI.05 [],ROI.27 [],1,3,0.0281244735328396,0.014025004577747724,1.0,ns
ROI.05 [],ROI.30 [],1,1,0.0281244735328396,0.0106695570326938,1.0,ns
ROI.05 [],ROI.31 [],1,7,0.0281244735328396,0.2756867732605243,1.0,ns
ROI.06 [],ROI.09 [],4,7,0.03170821036075053,0.19570817104698826,0.006060606060606061,**
ROI.06 [],ROI.10 [],4,10,0.03170821036075053,0.18631328161848637,0.001998001998001998,**
ROI.06 [],ROI.11 [],4,8,0.03170821036075053,0.19929086126161855,0.00404040404040404,**
ROI.06 [],ROI.12 [],4,9,0.03170821036075053,0.16101868317266932,0.002797202797202797,**
ROI.06 [],ROI.13 [],4,9,0.03170821036075053,0.1836840953349352,0.002797202797202797,**
ROI.06 [],ROI.14 [],4,9,0.03170821036075053,0.1555853062924181,0.002797202797202797,**
ROI.06 [],ROI.16 [],4,7,0.03170821036075053,0.19088229567981413,0.012121212121212121,*
ROI.06 [],ROI.17 [],4,6,0.03170821036075053,0.17091407168838754,0.009523809523809525,**
ROI.06 [],ROI.18 [],4,8,0.03170821036075053,0.17548615045294919,0.00404040404040404,**
ROI.06 [],ROI.19 [],4,7,0.03170821036075053,0.16814599287850682,0.006060606060606061,**
ROI.06 [],ROI.20 [],4,6,0.03170821036075053,0.1604508654688285,0.009523809523809525,**
ROI.06 [],ROI.21 [],4,10,0.03170821036075053,0.14862201496003866,0.013986013986013986,*
ROI.06 [],ROI.22 [],4,12,0.03170821036075053,0.25452846574498456,0.001098901098901099,**
ROI.06 [],ROI.23 [],4,2,0.03170821036075053,0.0386908577469007,0.5333333333333333,ns
ROI.06 [],ROI.27 [],4,3,0.03170821036075053,0.014025004577747724,0.11428571428571428,ns
