ROI,mean0,sd0,thr
ROI.01 [],0.3592984842790065,0.06601793406612004,0.5573522864773666
ROI.02 [],-0.0055929274334897685,0.00416323695554411,0.006896783433142561
ROI.03 [],0.002420487802794426,0.001795129191061421,0.007805875375978688
ROI.04 [],0.0021631102395577363,0.0018865886380553985,0.007822876153723932
ROI.05 [],0.0071098955276365314,0.005430652775611297,0.02340185385447042
ROI.06 [],0.0045680063144353045,0.0036287817326424022,0.015454351512362512
ROI.07 [],-0.13788132600243821,0.07838951036941365,0.09728720510580272
ROI.08 [],0.005043587266967527,0.003638460448456323,0.015958968612336494
ROI.09 [],0.003975739994327992,0.003410827128196665,0.014208221378917987
ROI.10 [],-0.10664896892290822,0.022056491348722715,-0.040479494876740074
ROI.11 [],-0.02460005325071652,0.006519268798523956,-0.005042246855144653
ROI.12 [],-0.03067966701094225,0.0077415872378174995,-0.007454905297489753
