ROI,mean0,sd0,thr
ROI.01 [],0.019011100877392877,0.006675758471173624,0.03903837629091375
ROI.02 [],0.02693053980913967,0.013425977473969033,0.06720847223104676
ROI.03 [],0.02736488960853783,0.008240803446031274,0.05208729994663165
ROI.04 [],0.03929309796427909,0.011251887483464324,0.07304876041467206
ROI.05 [],0.026700243060690916,0.007900861584531783,0.05040282781428626
ROI.06 [],0.014087017789653105,0.006849447105599018,0.03463535910645016
ROI.07 [],0.01948783949015971,0.007975560107274581,0.04341451981198345
ROI.08 [],0.004197734463404467,0.004254045815244047,0.016959871909136608
ROI.09 [],0.0107907591320481,0.006778267831399928,0.031125562626247882
ROI.10 [],0.00915455749278769,0.008460353216148351,0.03453561714123274
ROI.11 [],0.03260188759947563,0.01449365016502445,0.07608283809454898
ROI.12 [],0.02262317212772286,0.006742059028625856,0.042849349213600424
ROI.13 [],0.01454958288389864,0.008599958931669153,0.0403494596789061
