ROI,mean0,sd0,thr
ROI.01 [],0.006814162111934453,0.005071871453140047,0.022029776471354595
ROI.02 [],0.0100193405859322,0.009655570827175766,0.038986053067459496
ROI.03 [],0.011640927968330132,0.008640466573523251,0.03756232768889989
ROI.04 [],0.00897562364362152,0.00938311409622738,0.03712496593230366
ROI.05 [],0.0063485715089913256,0.005160034638085203,0.021828675423246933
ROI.06 [],0.007892368693512949,0.004611580034860226,0.021727108798093628
ROI.07 [],0.02311225073324043,0.015607627004124372,0.06993513174561354
ROI.08 [],0.00780590822948672,0.0030500139893364286,0.016955950197496003
ROI.09 [],0.008568384316347648,0.007559164857191264,0.031245878887921442
ROI.10 [],0.014392456157490479,0.00796189950798456,0.03827815468144416
ROI.11 [],0.014375796743308189,0.01777658618005446,0.06770555528347158
ROI.12 [],0.00905718482793691,0.00764162015252412,0.03198204528550927
ROI.13 [],0.007758381504990651,0.006306217019386569,0.02667703256315036
