ROI,mean0,sd0,thr
ROI.02 [],-0.0565207419974016,0.048798873626908074,0.08987587888332263
ROI.03 [],-0.03902128593490709,0.030358563259495652,0.052054403843579865
ROI.04 [],-0.04996004010967795,0.0538561212716562,0.11160832370529064
ROI.05 [],0.06923456725859363,0.039236112087324054,0.1869429035205658
ROI.06 [],-0.08143096941992034,0.05451504116704984,0.08211415408122918
ROI.07 [],-0.04945537382091118,0.0344275305309918,0.053827217772064215
ROI.08 [],-0.05130695093983688,0.03881797748819,0.06514698152473312
ROI.09 [],-0.01990701337334685,0.021027863719634082,0.04317657778555539
ROI.10 [],-0.01627771701137759,0.013225573032382794,0.02339900208577079
ROI.11 [],-0.02368581093057037,0.020285453027498332,0.03717054815192462
ROI.12 [],-0.031645413315158445,0.03590003339422491,0.07605468686751629
ROI.13 [],-0.05024646116144541,0.055643245262548297,0.11668327462619948
ROI.14 [],-0.22073819419518478,0.22843419972694892,0.464564404985662
ROI.15 [],0.06957332615283646,0.08115347994297563,0.31303376598176336
ROI.16 [],-0.1511705229108327,0.12092581671802853,0.2116069272432529
ROI.17 [],-0.06480908911427269,0.05448707972347611,0.09865215005615566
ROI.18 [],-0.04216500906480097,0.04298898629447829,0.0868019498186339
ROI.19 [],0.09029783727617056,0.1369360342283138,0.501105939961112
ROI.20 [],-0.13557512549586126,0.07714403536791858,0.09585698060789449
ROI.21 [],-0.024097212343498604,0.025371449974957484,0.05201713758137385
ROI.22 [],-0.020189436714528983,0.01922766953943064,0.03749357190376293
